Year,Site,Annual Mean NO2 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
1997,All sites,59.7150881895361,9.1177847736547,
1998,All sites,59.0191978546889,9.1886198508047,
1999,All sites,61.8144400337805,8.14912199176449,
2000,All sites,57.2570242053674,8.08441791458199,
2001,All sites,54.3103518407168,6.86861337722508,
2002,All sites,49.4047016222448,7.61883791383853,
2003,All sites,54.8232756094755,9.97169952550658,
2004,All sites,52.1820262446727,9.04316863393046,
2005,All sites,53.6200654926377,9.24095865520152,
2006,All sites,54.2062255277416,10.0060383054093,
2007,All sites,52.7355411386327,10.6447833879792,
2008,All sites,49.8765295120984,9.21401093480454,
2009,All sites,45.7991512006041,8.02792725101922,
2010,All sites,46.227337333612,7.30595017242533,
2011,All sites,41.1657088777908,7.05460483619968,
2012,All sites,41.4402852552957,6.79430305199846,
2013,All sites,38.8838795198719,6.26529743344763,
2014,All sites,38.360041029068,7.07343248055323,
2015,All sites,36.0825344429606,5.09970170674162,
2016,All sites,37.546801220455,4.22251171412237,
2017,All sites,33.6773466282348,3.34082658749527,
2018,All sites,32.802684286758,3.20068788481487,
2019,All sites,31.1375055753859,2.61790652090907,
1997,London A3 Roadside,65.9713306887847,,63.310502283105
1998,London A3 Roadside,56.7757285134637,,92.8424657534247
1999,London A3 Roadside,58.4507337526205,,98.013698630137
2000,London A3 Roadside,54.8821319558582,,96.971766848816
2001,London A3 Roadside,53.4676208352886,,97.3059360730594
2002,London A3 Roadside,58.15953307393,,88.013698630137
2003,London A3 Roadside,72.9734148421951,,80.296803652968
2004,London A3 Roadside,66.4151076597247,,96.7554644808743
2005,London A3 Roadside,60.7793432696786,,98.0365296803653
2006,London A3 Roadside,59.6420315236427,,97.7739726027397
2007,London A3 Roadside,61.4038248775091,,72.2260273972603
2008,Aberdeen Union Street Roadside,54.8550949707323,,95.2982695810565
2009,Aberdeen Union Street Roadside,51.7168242582328,,70.0228310502283
2010,Aberdeen Union Street Roadside,57.9855303139922,,78.8926940639269
2011,Aberdeen Union Street Roadside,43.5296217931764,,86.324200913242
2012,Aberdeen Union Street Roadside,52.8423328658251,,97.4043715846994
2013,Aberdeen Union Street Roadside,48.2609098747558,,99.3493150684932
2014,Aberdeen Union Street Roadside,46.6232880789768,,91.9292237442922
2015,Aberdeen Union Street Roadside,46.0989524930971,,99.2237442922374
2016,Aberdeen Union Street Roadside,42.9605037995255,,95.9699453551913
2017,Aberdeen Union Street Roadside,40.1189066706415,,95.7305936073059
2018,Aberdeen Union Street Roadside,38.6781658904426,,98.7785388127854
2019,Aberdeen Union Street Roadside,35.5429804867104,,99.2123287671233
2016,Aberdeen Wellington Road,46.3079627634478,,87.83014571949
2017,Aberdeen Wellington Road,39.2694759166963,,96.1986301369863
2018,Aberdeen Wellington Road,38.9697238944579,,99.0753424657534
2019,Aberdeen Wellington Road,35.2366750610177,,99.1552511415525
2009,Armagh Roadside,38.1194471865745,,23.1278538812785
2010,Armagh Roadside,26.0141065830721,,87.3972602739726
2011,Armagh Roadside,25.9187846580407,,98.8127853881278
2012,Armagh Roadside,27.2986966824645,,96.0837887067395
2013,Armagh Roadside,26.4766665318387,,98.7785388127854
2014,Armagh Roadside,28.4076344938626,,71.6095890410959
2015,Armagh Roadside,27.5197381863354,,45.9474885844749
2016,Armagh Roadside,21.3873272840924,,89.2418032786885
2017,Armagh Roadside,23.9188185279488,,96.3926940639269
2018,Armagh Roadside,25.1960227087131,,93.9383561643836
2019,Armagh Roadside,23.7383019558736,,95.7191780821918
2017,Ballymena Antrim Road,22.3026040929853,,69.9771689497717
2018,Ballymena Antrim Road,21.5475905828476,,95.9703196347032
2019,Ballymena Antrim Road,20.9731812509082,,94.2694063926941
1996,Bath Roadside,NA,,0
1997,Bath Roadside,63.1181262729124,,89.6803652968037
1998,Bath Roadside,61.9933643771828,,98.0593607305936
1999,Bath Roadside,61.2291433370661,,81.5525114155251
2000,Bath Roadside,54.4291089704997,,75.6375227686703
2001,Bath Roadside,56.9303840412539,,84.12100456621
2002,Bath Roadside,56.3441936234582,,98.1050228310502
2003,Bath Roadside,60.4814635913537,,94.5319634703196
2004,Bath Roadside,54.5608569774175,,98.3037340619308
2005,Bath Roadside,64.3678314866675,,93.7557077625571
2006,Bath Roadside,69.4764118057169,,98.2420091324201
2007,Bath Roadside,62.8562978427279,,98.4246575342466
2008,Bath Roadside,65.025641025641,,97.233606557377
2009,Bath Roadside,64.8300339697786,,97.4543378995434
2010,Bath Roadside,60.4746234067207,,98.5159817351598
2011,Bath Roadside,56.9659599528857,,96.9178082191781
2012,Bath Roadside,55.6299361551194,,96.2887067395264
2013,Bath Roadside,57.2572354778393,,98.9041095890411
2014,Bath Roadside,57.3367073392487,,99.0639269406393
2015,Bath Roadside,53.5884722868038,,98.7899543378995
2016,Bath Roadside,48.0739701694514,,96.0724043715847
2017,Bath Roadside,44.7754913478864,,98.8356164383562
2018,Bath Roadside,38.3453365024177,,99.1552511415525
2019,Bath Roadside,42.6870068436268,,43.4360730593607
2016,Birkenhead Borough Road,31.2219642839391,,36.646174863388
2017,Birkenhead Borough Road,22.7676176810098,,99.486301369863
2018,Birkenhead Borough Road,23.7028214380734,,99.5433789954338
2019,Birkenhead Borough Road,23.2563812900641,,99.7260273972603
2015,Bradford Mayo Avenue,43.213415760027,,67.7397260273973
2016,Bradford Mayo Avenue,46.0826150139308,,98.0646630236794
2017,Bradford Mayo Avenue,42.3768475653948,,95.1369863013699
2018,Bradford Mayo Avenue,43.4704917041989,,97.3287671232877
2019,Bradford Mayo Avenue,41.9237116466389,,95.9474885844749
2014,Belfast Stockman's Lane,58.7473426380118,,56.0388127853881
2015,Belfast Stockman's Lane,50.0863554569582,,98.9269406392694
2016,Belfast Stockman's Lane,49.8674295953691,,99.3169398907104
2017,Belfast Stockman's Lane,51.6162346255201,,98.7671232876712
2018,Belfast Stockman's Lane,48.607961872945,,97.2146118721461
2019,Belfast Stockman's Lane,45.3986699178431,,98.6529680365297
2019,Bath A4 Roadside,39.4138685583384,,18.6872146118721
2016,Birmingham A4540 Roadside,37.0061568479467,,30.7718579234973
2017,Birmingham A4540 Roadside,36.6685108856089,,98.9954337899543
2018,Birmingham A4540 Roadside,32.2321361285103,,98.7785388127854
2019,Birmingham A4540 Roadside,31.9769084385294,,86.6324200913242
2009,Birmingham Tyburn Roadside,46.5261797905617,,83.9383561643836
2010,Birmingham Tyburn Roadside,50.791087962963,,98.6301369863014
2011,Birmingham Tyburn Roadside,45.2345935946352,,98.7328767123288
2012,Birmingham Tyburn Roadside,45.5650921658986,,98.816029143898
2013,Birmingham Tyburn Roadside,46.2795306321006,,94.4520547945205
2014,Birmingham Tyburn Roadside,47.3537155630604,,98.0251141552511
2015,Birmingham Tyburn Roadside,45.1057834506377,,96.6666666666667
2016,Birmingham Tyburn Roadside,42.1229948215488,,67.6229508196721
2014,Blackburn Accrington Road,24.9740398801217,,63.8013698630137
2015,Blackburn Accrington Road,27.4205843479974,,86.9292237442922
2016,Blackburn Accrington Road,34.3426239914231,,71.6757741347905
2017,Blackburn Accrington Road,21.1888109385189,,98.0365296803653
2018,Blackburn Accrington Road,19.4788846426052,,97.1004566210046
2019,Blackburn Accrington Road,20.2278948701057,,91.837899543379
2009,Blackburn Darwen Roadside,25.0263904034896,,52.3401826484018
2010,Blackburn Darwen Roadside,29.5431963968882,,83.6415525114155
2011,Blackburn Darwen Roadside,24.8350490492915,,94.2579908675799
2012,Blackburn Darwen Roadside,25.6251881004746,,98.3492714025501
2013,Blackburn Darwen Roadside,24.1371710528864,,94.3264840182648
2014,Blackburn Darwen Roadside,22.2675851750973,,20.5365296803653
2014,Oldbury Birmingham Road,41.8609389692642,,36.7694063926941
2015,Oldbury Birmingham Road,40.5962407293315,,93.7557077625571
2016,Oldbury Birmingham Road,39.7993650557271,,84.7791438979964
2017,Oldbury Birmingham Road,36.1494916762178,,95.6164383561644
2018,Oldbury Birmingham Road,33.2620033344316,,34.6461187214612
2019,Oldbury Birmingham Road,33.4831027325968,,85.7648401826484
2017,Bristol Temple Way,37.8309242148509,,75.0228310502283
2018,Bristol Temple Way,44.289902582034,,98.1050228310502
2019,Bristol Temple Way,39.2490533222553,,99.6118721461187
1998,Brighton Roadside,43.7861614497529,,69.2922374429224
1999,Brighton Roadside,17.6363636363636,,1.50684931506849
2000,Brighton Roadside,42.4785376874101,,55.4303278688525
2001,Brighton Roadside,35.9313785881483,,92.6598173515982
2002,Brighton Roadside,36.9494719155065,,95.1141552511416
2003,Brighton Roadside,43.0373252439989,,86.5525114155251
2004,Brighton Roadside,40.8618784530387,,98.9071038251366
2005,Brighton Roadside,39.2771946014535,,98.9611872146119
2006,Brighton Roadside,39.4865207373272,,99.0867579908676
2007,Brighton Roadside,40.8300266852303,,98.3904109589041
2008,Brighton Roadside,38.3211491299778,,97.4840619307832
2009,Brighton Roadside,36.8639710178801,,97.6826484018265
2010,Brighton Roadside,48.4015037593985,,22.7739726027397
2003,Brentford Roadside,51.7612390350877,,41.6438356164384
2004,Brentford Roadside,54.4831683168317,,91.9854280510018
2005,Brentford Roadside,49.0787690894477,,99.4178082191781
2006,Brentford Roadside,54.3539273927393,,86.472602739726
2007,Brentford Roadside,60.0472868217054,,73.6301369863014
1996,Bristol Old Market,58.0239520958084,,49.4307832422586
1997,Bristol Old Market,60.4834824090638,,95.7191780821918
1998,Bristol Old Market,57.1358934728332,,96.0159817351598
1999,Bristol Old Market,54.711317418214,,77.4657534246575
2000,Bristol Old Market,54.5685190573174,,78.2559198542805
2001,Bristol Old Market,54.3260175578611,,57.2146118721461
2002,Bristol Old Market,NA,,0
2003,Bristol Old Market,70.5054826532447,,63.5045662100457
2004,Bristol Old Market,53.823475152773,,98.7363387978142
2005,Bristol Old Market,59.7361495844875,,98.9041095890411
2006,Bristol Old Market,66.9580403458213,,99.0296803652968
2007,Bristol Old Market,61.2829615788859,,97.7511415525114
2008,Bristol Old Market,62.3682703321879,,99.3852459016394
2009,Bristol Old Market,63.2287864010032,,81.9292237442922
2010,Bristol Old Market,63.4445432977461,,76.986301369863
2011,Bristol Old Market,60.8019858697728,,59.7831050228311
2012,Bristol Old Market,53.8053148469093,,59.1188524590164
2015,Bury Whitefield Roadside,25.3823508082125,,70.0570776255708
2016,Bury Whitefield Roadside,29.6424112460682,,94.1029143897996
2017,Bury Whitefield Roadside,28.0646018636468,,99.2922374429224
2018,Bury Whitefield Roadside,25.1436093754305,,99.4292237442922
2019,Bury Whitefield Roadside,27.2320948524357,,96.3127853881278
1997,Bury Roadside,73.967153858243,,72.6369863013699
1998,Bury Roadside,74.2085656661526,,96.2214611872146
1999,Bury Roadside,72.9871921182266,,92.6940639269406
2000,Bury Roadside,70.0218995198501,,97.2108378870674
2001,Bury Roadside,68.4780829924021,,97.6598173515982
2002,Bury Roadside,67.7804967129291,,93.7671232876712
2003,Bury Roadside,76.1099436186571,,89.0867579908676
2004,Bury Roadside,69.2593237195425,,91.575591985428
2005,Bury Roadside,63.9441989647772,,90.4223744292238
2006,Bury Roadside,73.3917380918926,,81.2442922374429
2007,Bury Roadside,65.4531513787282,,81.1415525114155
2008,Bury Roadside,68.7925601232081,,96.0951730418944
2009,Bury Roadside,71.58612109483,,82.5799086757991
2010,Bury Roadside,69.440884996543,,99.0639269406393
2011,Bury Roadside,70.5119108606557,,89.1324200913242
2012,Bury Roadside,56.0037022603274,,58.424408014572
1997,Bromley Roadside,61.5566762728146,,23.7671232876712
1998,Bromley Roadside,41.7320400121249,,37.6598173515982
1998,London Bromley,62.8307461191788,,22.796803652968
1999,London Bromley,65.2779792119894,,94.4520547945205
2000,London Bromley,62.5796099045511,,82.2973588342441
2001,London Bromley,61.1551057246003,,88.5388127853881
2002,London Bromley,41.1908952246861,,97.2945205479452
2003,London Bromley,42.1993908153702,,97.4429223744292
2004,London Bromley,46.5578947368421,,98.4175774134791
2005,London Bromley,49.2981000481,,94.9315068493151
2006,London Bromley,50.6244283536585,,59.9086757990868
2007,London Bromley,43.8675980314336,,71.9063926940639
1996,Camden Kerbside,67.0243233357718,,62.2495446265938
1997,Camden Kerbside,69.7099328214971,,95.1598173515982
1998,Camden Kerbside,63.6293123679887,,97.2831050228311
