Year,Site,Annual Mean PM10 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
1997,All sites,36.7313588004071,7.62944190483024,
1998,All sites,32.9751949145554,4.47049243915924,
1999,All sites,31.7361038527483,6.35042180990784,
2000,All sites,30.8330759766554,7.57678197674672,
2001,All sites,31.5509325721709,5.57850460046209,
2002,All sites,29.154707228596,5.09570425627365,
2003,All sites,30.4705083564957,6.48979917295285,
2004,All sites,26.302015341694,6.31892849207804,
2005,All sites,27.3919112836606,6.06108767406777,
2006,All sites,29.8999109357199,6.90654062834333,
2007,All sites,26.1252962487435,7.68227463412376,
2008,All sites,22.3940956091631,3.79147366410598,
2009,All sites,20.2660849583625,2.68099730244551,
2010,All sites,21.659442713377,2.83994699560468,
2011,All sites,22.9241861746166,3.24886460612274,
2012,All sites,20.0414448874075,2.00795218241246,
2013,All sites,20.4481841057983,2.27084088679735,
2014,All sites,18.7402104696501,2.08524991754535,
2015,All sites,17.294771601023,1.4199502939253,
2016,All sites,18.4755084872708,1.74567555378114,
2017,All sites,17.24844743785,1.49747725888964,
2018,All sites,18.5453310620533,1.15769485116651,
2019,All sites,17.9939806030197,1.27222282130466,
2007,Inverness,13.55,,87.6712328767123
2008,Inverness,12.4889502762431,,98.9071038251366
2009,Inverness,11.7309941520468,,93.6986301369863
2010,Inverness,14.055900621118,,88.2191780821918
2011,Inverness,11.83125,,87.6712328767123
2012,Inverness,11.0202312138728,,94.5355191256831
2013,Inverness,11.6481194029851,,91.7808219178082
2014,Inverness,10.854691011236,,97.5342465753425
2015,Inverness,9.29194202898551,,94.5205479452055
2016,Inverness,8.56231515151515,,90.1639344262295
2017,Inverness,9.71271091445428,,92.8767123287671
2007,Wrexham,18.8155619596542,,95.0684931506849
2008,Wrexham,17.0145348837209,,93.9890710382514
2009,Wrexham,15.1766467065868,,91.5068493150685
2010,Wrexham,14.2770700636943,,86.027397260274
2011,Wrexham,17.7043189368771,,82.4657534246575
2012,Wrexham,15.1121794871795,,85.2459016393443
2013,Wrexham,17.1036918604651,,94.2465753424658
2014,Wrexham,14.0603519061584,,93.4246575342466
2015,Wrexham,13.2563068181818,,96.4383561643836
2016,Wrexham,12.2318005698006,,95.9016393442623
2017,Wrexham,11.5001079545455,,96.4383561643836
2002,Dumfries,21.4122807017544,,93.6986301369863
2003,Dumfries,21,,93.4246575342466
2004,Dumfries,16.2619047619048,,91.8032786885246
2005,Dumfries,18.5490196078431,,97.8082191780822
2006,Dumfries,20.1733746130031,,88.4931506849315
2007,Dumfries,18.3764367816092,,95.3424657534246
2003,Inverness,14.9970674486804,,93.4246575342466
2004,Inverness,13.7902298850575,,95.0819672131148
2005,Inverness,15.1228070175439,,93.6986301369863
2006,Inverness,15.6325301204819,,90.958904109589
2002,Wrexham,25.0350877192982,,78.0821917808219
2003,Wrexham,24.2816455696203,,86.5753424657534
2004,Wrexham,18.5801749271137,,93.7158469945355
2005,Wrexham,20.2358208955224,,91.7808219178082
2006,Wrexham,19.8994252873563,,95.3424657534246
1997,London A3 Roadside,38.098581884721,,49.9086757990868
1998,London A3 Roadside,31.5054828440042,,96.8150684931507
1999,London A3 Roadside,29.4426613564484,,97.4543378995434
2000,London A3 Roadside,26.1536588194364,,98.1671220400729
2001,London A3 Roadside,27.2928997543572,,97.5913242009132
2002,London A3 Roadside,23.7949232585596,,96.689497716895
2003,London A3 Roadside,33.2155702792239,,96.4840182648402
2004,London A3 Roadside,27.0741987923827,,98.0418943533698
2005,London A3 Roadside,30.9045459830252,,98.1849315068493
2006,London A3 Roadside,34.2572157180944,,98.4817351598173
2007,London A3 Roadside,31.8985981308411,,73.2876712328767
2009,Armagh Roadside,23.0727672373901,,98.675799086758
2010,Armagh Roadside,28.6979062811565,,91.5981735159817
2011,Armagh Roadside,19.0089538171536,,96.8949771689498
2012,Armagh Roadside,16.3189438390612,,81.4890710382514
2013,Armagh Roadside,19.0223524041388,,75.0228310502283
2014,Armagh Roadside,20.6834169371496,,38.6872146118721
2015,Armagh Roadside,14.8493272519954,,50.0570776255708
2016,Armagh Roadside,18.2184346701164,,70.4007285974499
2017,Armagh Roadside,14.4592055634135,,96.8493150684932
2018,Armagh Roadside,18.5858940556088,,95.2511415525114
2019,Armagh Roadside,17.1714136262587,,87.2945205479452
2014,Belfast Stockman's Lane,20.4936844024887,,53.2077625570776
2015,Belfast Stockman's Lane,21.0335565531716,,97.8995433789954
2016,Belfast Stockman's Lane,21.5935451352301,,97.233606557377
2017,Belfast Stockman's Lane,20.5521561653515,,96.9292237442922
2018,Belfast Stockman's Lane,14.7163921780987,,94.8630136986301
2019,Belfast Stockman's Lane,18.2078731624347,,93.9611872146119
2016,Birmingham A4540 Roadside,15.5407392026578,,27.4134790528233
2017,Birmingham A4540 Roadside,15.1321374629812,,92.5114155251142
2018,Birmingham A4540 Roadside,17.5091575645756,,92.8082191780822
2019,Birmingham A4540 Roadside,15.3689046139685,,99.2123287671233
2009,Birmingham Tyburn Roadside,18.7887643448092,,85.5479452054795
2010,Birmingham Tyburn Roadside,20.4809422348485,,96.4383561643836
2011,Birmingham Tyburn Roadside,23.674379524302,,88.310502283105
2012,Birmingham Tyburn Roadside,21.7761500146499,,77.7094717668488
2013,Birmingham Tyburn Roadside,19.2042806183115,,76.8036529680365
2014,Birmingham Tyburn Roadside,19.8719185687847,,92.5228310502283
2015,Birmingham Tyburn Roadside,17.2790881823635,,95.148401826484
2016,Birmingham Tyburn Roadside,17.6348471803702,,52.891621129326
2013,Barnstaple A39,18.6679287305122,,10.2511415525114
2014,Barnstaple A39,16.0116111951588,,90.5479452054795
2015,Barnstaple A39,17.7171924746744,,78.8812785388128
2016,Barnstaple A39,16.9499933818663,,86.0086520947177
2017,Barnstaple A39,16.7944729344729,,40.0684931506849
2018,Barnstaple A39,14.0109023988281,,62.3401826484018
2019,Barnstaple A39,16.6107482048827,,95.3881278538813
2017,Bristol Temple Way,21.6629075882795,,15.1940639269406
2018,Bristol Temple Way,22.6100616205725,,94.1095890410959
2019,Bristol Temple Way,20.9040645082765,,93.7899543378995
2015,Bury Whitefield Roadside,17.3114010605638,,81.8036529680365
2016,Bury Whitefield Roadside,15.240269352099,,93.8296903460838
2017,Bury Whitefield Roadside,14.8494393347612,,90.6050228310502
2018,Bury Whitefield Roadside,15.9151103431551,,94.1438356164384
2019,Bury Whitefield Roadside,17.729821945433,,96.2328767123288
1997,Bury Roadside,39.1527408195849,,85.7990867579909
1998,Bury Roadside,33.8797643381027,,94.9429223744292
1999,Bury Roadside,31.2919202768827,,95.6506849315068
2000,Bury Roadside,29.4313822546715,,91.9968123861566
2001,Bury Roadside,32.4390568319226,,94.4063926940639
2002,Bury Roadside,30.7594710507505,,95.8219178082192
2003,Bury Roadside,34.6819460726846,,97.3744292237443
2004,Bury Roadside,30.3213580246914,,92.2131147540984
2005,Bury Roadside,27.8715422058649,,96.1529680365297
2006,Bury Roadside,31.3266139657444,,86.6438356164384
2007,Bury Roadside,28.148039359671,,77.7283105022831
2008,Bury Roadside,20.8879677877783,,96.1293260473588
2009,Bury Roadside,22.1579761904762,,95.8904109589041
2010,Bury Roadside,23.2827505827506,,97.9452054794521
2011,Bury Roadside,23.4648788288842,,92.796803652968
2012,Bury Roadside,23.351310483871,,67.7595628415301
1997,Camden Kerbside,42.0803654024052,,98.7214611872146
1998,Camden Kerbside,32.661956065482,,81.5867579908676
1999,Camden Kerbside,34.1057657439865,,94.4406392694064
2000,Camden Kerbside,33.6679065442288,,97.9394353369763
2001,Camden Kerbside,33.2122052704577,,98.7671232876712
2002,Camden Kerbside,30.7548624697894,,99.189497716895
2003,Camden Kerbside,35.3133002653132,,98.9611872146119
2004,Camden Kerbside,34.9392245480495,,95.7194899817851
2005,Camden Kerbside,36.795848567048,,96.7922374429224
2006,Camden Kerbside,37.285695329087,,86.027397260274
2007,Camden Kerbside,35.2439136426275,,99.4063926940639
2008,Camden Kerbside,26.4709985315712,,93.0327868852459
2009,Camden Kerbside,25.3939015691869,,64.0182648401827
2010,Camden Kerbside,26.0419295478444,,86.8493150684932
2011,Camden Kerbside,26.7680456144608,,94.0981735159817
2012,Camden Kerbside,22.6495610238655,,92.0651183970856
2013,Camden Kerbside,20.499339819319,,98.5616438356164
2014,Camden Kerbside,22.0760703019378,,75.9931506849315
2015,Camden Kerbside,20.3422842764208,,93.0022831050228
2016,Camden Kerbside,20.884814905017,,93.488160291439
2017,Camden Kerbside,20.1651635155851,,89.3607305936073
2018,Camden Kerbside,20.6524725598961,,96.7237442922374
2019,Camden Kerbside,19.4761933032534,,96.1415525114155
2008,Carlisle Roadside,21.9845897542691,,82.0013661202186
2009,Carlisle Roadside,17.8638435700576,,95.1598173515982
2010,Carlisle Roadside,22.4671982602392,,94.486301369863
2011,Carlisle Roadside,22.1140554402247,,93.4817351598173
2012,Carlisle Roadside,19.1903000411015,,83.094262295082
2013,Carlisle Roadside,12.2270745603171,,46.0844748858447
2014,Carlisle Roadside,15.7782013381049,,73.3675799086758
2015,Carlisle Roadside,17.2835046042973,,85.5365296803653
2016,Carlisle Roadside,14.1294932491671,,64.9248633879781
2017,Carlisle Roadside,14.5925823846615,,95.2625570776256
2018,Carlisle Roadside,16.1977453377016,,90.5936073059361
2019,Carlisle Roadside,18.5932621370919,,94.7602739726027
2010,Chatham Roadside,21.5784671532847,,50.0456621004566
2011,Chatham Roadside,24.1034004163775,,98.6986301369863
2012,Chatham Roadside,20.8233091504798,,97.2905282331512
2013,Chatham Roadside,23.0844004373709,,93.9611872146119
2014,Chatham Roadside,21.3877555844463,,96.5867579908676
