id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
1,ESSONNE,SAINT-JEAN-DE-BEAUREGARD,91560,LES ULIS,4049,Periurb.,O3,7,52,ug.m-3,annuelle,1388530800000,1420066800000,1,638491,6842410
2,ESSONNE,SAINT-JEAN-DE-BEAUREGARD,91560,LES ULIS,4049,Periurb.,O3,7,54,ug.m-3,annuelle,1420066800000,1451602800000,1,638491,6842410
3,ESSONNE,SAINT-JEAN-DE-BEAUREGARD,91560,LES ULIS,4049,Periurb.,O3,7,49,ug.m-3,annuelle,1451602800000,1483225200000,1,638491,6842410
4,ESSONNE,SAINT-JEAN-DE-BEAUREGARD,91560,LES ULIS,4049,Periurb.,O3,7,51,ug.m-3,annuelle,1483225200000,1514761200000,1,638491,6842410
5,YVELINES,SOINDRES,78597,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1388530800000,1420066800000,1,605114,6878146
6,YVELINES,SOINDRES,78597,MANTES-LA-JOLIE,4063,Periurb.,O3,7,48,ug.m-3,annuelle,1420066800000,1451602800000,1,605114,6878146
7,YVELINES,SOINDRES,78597,MANTES-LA-JOLIE,4063,Periurb.,O3,7,43,ug.m-3,annuelle,1451602800000,1483225200000,1,605114,6878146
8,YVELINES,SOINDRES,78597,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1483225200000,1514761200000,1,605114,6878146
9,SEINE-ET-MARNE,LA ROCHETTE,77389,MELUN,4069,Periurb.,O3,7,43,ug.m-3,annuelle,1388530800000,1420066800000,1,674983,6826940
10,SEINE-ET-MARNE,LA ROCHETTE,77389,MELUN,4069,Periurb.,O3,7,46,ug.m-3,annuelle,1420066800000,1451602800000,1,674983,6826940
11,SEINE-ET-MARNE,LA ROCHETTE,77389,MELUN,4069,Periurb.,O3,7,41,ug.m-3,annuelle,1451602800000,1483225200000,1,674983,6826940
12,SEINE-ET-MARNE,LA ROCHETTE,77389,MELUN,4069,Periurb.,O3,7,43,ug.m-3,annuelle,1483225200000,1514761200000,1,674983,6826940
13,YVELINES,PERDREAUVILLE,78484,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1388530800000,1420066800000,1,605114,6878146
14,YVELINES,PERDREAUVILLE,78484,MANTES-LA-JOLIE,4063,Periurb.,O3,7,48,ug.m-3,annuelle,1420066800000,1451602800000,1,605114,6878146
15,YVELINES,PERDREAUVILLE,78484,MANTES-LA-JOLIE,4063,Periurb.,O3,7,43,ug.m-3,annuelle,1451602800000,1483225200000,1,605114,6878146
16,YVELINES,PERDREAUVILLE,78484,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1483225200000,1514761200000,1,605114,6878146
17,YVELINES,MENERVILLE,78385,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1388530800000,1420066800000,1,605114,6878146
18,YVELINES,MENERVILLE,78385,MANTES-LA-JOLIE,4063,Periurb.,O3,7,48,ug.m-3,annuelle,1420066800000,1451602800000,1,605114,6878146
19,YVELINES,MENERVILLE,78385,MANTES-LA-JOLIE,4063,Periurb.,O3,7,43,ug.m-3,annuelle,1451602800000,1483225200000,1,605114,6878146
20,YVELINES,MENERVILLE,78385,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1483225200000,1514761200000,1,605114,6878146
21,YVELINES,BOISSY-MAUVOISIN,78082,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1388530800000,1420066800000,1,605114,6878146
22,YVELINES,BOISSY-MAUVOISIN,78082,MANTES-LA-JOLIE,4063,Periurb.,O3,7,48,ug.m-3,annuelle,1420066800000,1451602800000,1,605114,6878146
23,YVELINES,BOISSY-MAUVOISIN,78082,MANTES-LA-JOLIE,4063,Periurb.,O3,7,43,ug.m-3,annuelle,1451602800000,1483225200000,1,605114,6878146
24,YVELINES,BOISSY-MAUVOISIN,78082,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1483225200000,1514761200000,1,605114,6878146
25,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,O3,7,43,ug.m-3,annuelle,1483225200000,1514761200000,1,654122,6853046
26,YVELINES,BOINVILLIERS,78072,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1388530800000,1420066800000,1,605114,6878146
27,YVELINES,BOINVILLIERS,78072,MANTES-LA-JOLIE,4063,Periurb.,O3,7,48,ug.m-3,annuelle,1420066800000,1451602800000,1,605114,6878146
28,YVELINES,BOINVILLIERS,78072,MANTES-LA-JOLIE,4063,Periurb.,O3,7,43,ug.m-3,annuelle,1451602800000,1483225200000,1,605114,6878146
29,YVELINES,BOINVILLIERS,78072,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1483225200000,1514761200000,1,605114,6878146
30,SEINE-ET-MARNE,FONTAINEBLEAU,77186,Zone Rurale SE,4328,Rurale re.,O3,7,50,ug.m-3,annuelle,1388530800000,1420066800000,1,673715,6806114
31,SEINE-ET-MARNE,FONTAINEBLEAU,77186,Zone Rurale SE,4328,Rurale re.,O3,7,52,ug.m-3,annuelle,1420066800000,1451602800000,1,673715,6806114
32,SEINE-ET-MARNE,FONTAINEBLEAU,77186,Zone Rurale SE,4328,Rurale re.,O3,7,46,ug.m-3,annuelle,1451602800000,1483225200000,1,673715,6806114
33,SEINE-ET-MARNE,FONTAINEBLEAU,77186,Zone Rurale SE,4328,Rurale re.,O3,7,50,ug.m-3,annuelle,1483225200000,1514761200000,1,673715,6806114
34,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,O3,7,37,ug.m-3,annuelle,1388530800000,1420066800000,1,652382,6862336
35,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,O3,7,40,ug.m-3,annuelle,1420066800000,1451602800000,1,652382,6862336
36,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,O3,7,36,ug.m-3,annuelle,1451602800000,1483225200000,1,652382,6862336
37,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,O3,7,39,ug.m-3,annuelle,1483225200000,1514761200000,1,652382,6862336
38,YVELINES,JOUY-MAUVOISIN,78324,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1388530800000,1420066800000,1,605114,6878146
39,YVELINES,JOUY-MAUVOISIN,78324,MANTES-LA-JOLIE,4063,Periurb.,O3,7,48,ug.m-3,annuelle,1420066800000,1451602800000,1,605114,6878146
40,YVELINES,JOUY-MAUVOISIN,78324,MANTES-LA-JOLIE,4063,Periurb.,O3,7,43,ug.m-3,annuelle,1451602800000,1483225200000,1,605114,6878146
41,YVELINES,JOUY-MAUVOISIN,78324,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1483225200000,1514761200000,1,605114,6878146
42,YVELINES,FONTENAY-MAUVOISIN,78245,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1388530800000,1420066800000,1,605114,6878146
43,YVELINES,FONTENAY-MAUVOISIN,78245,MANTES-LA-JOLIE,4063,Periurb.,O3,7,48,ug.m-3,annuelle,1420066800000,1451602800000,1,605114,6878146
44,YVELINES,FONTENAY-MAUVOISIN,78245,MANTES-LA-JOLIE,4063,Periurb.,O3,7,43,ug.m-3,annuelle,1451602800000,1483225200000,1,605114,6878146
45,YVELINES,FONTENAY-MAUVOISIN,78245,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1483225200000,1514761200000,1,605114,6878146
46,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,O3,7,45,ug.m-3,annuelle,1388530800000,1420066800000,1,673184,6860091
47,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,O3,7,47,ug.m-3,annuelle,1420066800000,1451602800000,1,673184,6860091
48,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,O3,7,40,ug.m-3,annuelle,1451602800000,1483225200000,1,673184,6860091
49,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,O3,7,42,ug.m-3,annuelle,1483225200000,1514761200000,1,673184,6860091
50,YVELINES,BUCHELAY,78118,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1388530800000,1420066800000,1,605114,6878146
51,YVELINES,BUCHELAY,78118,MANTES-LA-JOLIE,4063,Periurb.,O3,7,48,ug.m-3,annuelle,1420066800000,1451602800000,1,605114,6878146
52,YVELINES,BUCHELAY,78118,MANTES-LA-JOLIE,4063,Periurb.,O3,7,43,ug.m-3,annuelle,1451602800000,1483225200000,1,605114,6878146
53,YVELINES,BUCHELAY,78118,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1483225200000,1514761200000,1,605114,6878146
54,YVELINES,FLACOURT,78234,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1388530800000,1420066800000,1,605114,6878146
55,YVELINES,FLACOURT,78234,MANTES-LA-JOLIE,4063,Periurb.,O3,7,48,ug.m-3,annuelle,1420066800000,1451602800000,1,605114,6878146
56,YVELINES,FLACOURT,78234,MANTES-LA-JOLIE,4063,Periurb.,O3,7,43,ug.m-3,annuelle,1451602800000,1483225200000,1,605114,6878146
57,YVELINES,FLACOURT,78234,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1483225200000,1514761200000,1,605114,6878146
58,YVELINES,VERSAILLES,78646,VERSAILLES,4029,Periurb.,O3,7,46,ug.m-3,annuelle,1483225200000,1514761200000,1,636191,6855823
59,ESSONNE,LES ULIS,91692,LES ULIS,4049,Periurb.,O3,7,52,ug.m-3,annuelle,1388530800000,1420066800000,1,638491,6842410
60,ESSONNE,LES ULIS,91692,LES ULIS,4049,Periurb.,O3,7,54,ug.m-3,annuelle,1420066800000,1451602800000,1,638491,6842410
61,ESSONNE,LES ULIS,91692,LES ULIS,4049,Periurb.,O3,7,49,ug.m-3,annuelle,1451602800000,1483225200000,1,638491,6842410
62,ESSONNE,LES ULIS,91692,LES ULIS,4049,Periurb.,O3,7,51,ug.m-3,annuelle,1483225200000,1514761200000,1,638491,6842410
63,SEINE-SAINT-DENIS,TREMBLAY-EN-FRANCE,93073,TREMBLAY-EN-FRANCE,4319,Periurb.,O3,7,41,ug.m-3,annuelle,1388530800000,1420066800000,1,668840,6872926
64,SEINE-SAINT-DENIS,TREMBLAY-EN-FRANCE,93073,TREMBLAY-EN-FRANCE,4319,Periurb.,O3,7,44,ug.m-3,annuelle,1420066800000,1451602800000,1,668840,6872926
65,SEINE-SAINT-DENIS,TREMBLAY-EN-FRANCE,93073,TREMBLAY-EN-FRANCE,4319,Periurb.,O3,7,38,ug.m-3,annuelle,1451602800000,1483225200000,1,668840,6872926
66,SEINE-SAINT-DENIS,TREMBLAY-EN-FRANCE,93073,TREMBLAY-EN-FRANCE,4319,Periurb.,O3,7,40,ug.m-3,annuelle,1483225200000,1514761200000,1,668840,6872926
67,SEINE-ET-MARNE,MELUN,77288,MELUN,4069,Periurb.,O3,7,43,ug.m-3,annuelle,1388530800000,1420066800000,1,674983,6826940
68,SEINE-ET-MARNE,MELUN,77288,MELUN,4069,Periurb.,O3,7,46,ug.m-3,annuelle,1420066800000,1451602800000,1,674983,6826940
69,SEINE-ET-MARNE,MELUN,77288,MELUN,4069,Periurb.,O3,7,41,ug.m-3,annuelle,1451602800000,1483225200000,1,674983,6826940
70,SEINE-ET-MARNE,MELUN,77288,MELUN,4069,Periurb.,O3,7,43,ug.m-3,annuelle,1483225200000,1514761200000,1,674983,6826940
71,YVELINES,FAVRIEUX,78231,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1388530800000,1420066800000,1,605114,6878146
72,YVELINES,FAVRIEUX,78231,MANTES-LA-JOLIE,4063,Periurb.,O3,7,48,ug.m-3,annuelle,1420066800000,1451602800000,1,605114,6878146
73,YVELINES,FAVRIEUX,78231,MANTES-LA-JOLIE,4063,Periurb.,O3,7,43,ug.m-3,annuelle,1451602800000,1483225200000,1,605114,6878146
74,YVELINES,FAVRIEUX,78231,MANTES-LA-JOLIE,4063,Periurb.,O3,7,45,ug.m-3,annuelle,1483225200000,1514761200000,1,605114,6878146
