nom_dept,nom_com,insee_com,nom_station,code_station_ue,typologie,influence,nom_poll,id_poll_ue,metrique,date_debut,date_fin,valeur,unite,statut_valid,x,y,longitude,latitude,ObjectId
Moselle,Forbach,57227,Agglomération de Forbach - Centre,FR22054,Urbaine,Fond,Ozone,7,mesure annuelle,2010/01/01 00:00:00+00,2011/01/01 00:00:00+00,NA,µg/m3,1,985016,6905691,6.91086700013002,49.1874199967162,1
Meurthe-et-Moselle,Nancy,54395,Agglomération de Nancy - Centre (Gare) ,FR30016,Urbaine,Trafic,Dioxyde d'azote,8,mesure annuelle,2010/01/01 00:00:00+00,2011/01/01 00:00:00+00,35,µg/m3,1,933670,6847554,6.17511099983163,48.685855996093,2
Moselle,Forbach,57227,Agglomération de Forbach - Centre,FR22054,Urbaine,Fond,Ozone,7,mesure annuelle,2011/01/01 00:00:00+00,2012/01/01 00:00:00+00,NA,µg/m3,1,985016,6905691,6.91086700013002,49.1874199967162,3
Moselle,Forbach,57227,Agglomération de Forbach - Centre,FR22054,Urbaine,Fond,Ozone,7,mesure annuelle,2012/01/01 00:00:00+00,2013/01/01 00:00:00+00,48,µg/m3,1,985016,6905691,6.91086700013002,49.1874199967162,4
Moselle,Forbach,57227,Agglomération de Forbach - Centre,FR22054,Urbaine,Fond,Ozone,7,mesure annuelle,2013/01/01 00:00:00+00,2014/01/01 00:00:00+00,51,µg/m3,1,985016,6905691,6.91086700013002,49.1874199967162,5
Moselle,Forbach,57227,Agglomération de Forbach - Centre,FR22054,Urbaine,Fond,Ozone,7,mesure annuelle,2014/01/01 00:00:00+00,2015/01/01 00:00:00+00,47,µg/m3,1,985016,6905691,6.91086700013002,49.1874199967162,6
Moselle,Forbach,57227,Agglomération de Forbach - Centre,FR22054,Urbaine,Fond,Ozone,7,mesure annuelle,2015/01/01 00:00:00+00,2016/01/01 00:00:00+00,47,µg/m3,1,985016,6905691,6.91086700013002,49.1874199967162,7
Moselle,Forbach,57227,Agglomération de Forbach - Centre,FR22054,Urbaine,Fond,Ozone,7,mesure annuelle,2016/01/01 00:00:00+00,2017/01/01 00:00:00+00,44,µg/m3,1,985016,6905691,6.91086700013002,49.1874199967162,8
Moselle,Forbach,57227,Agglomération de Forbach - Centre,FR22054,Urbaine,Fond,Ozone,7,mesure annuelle,2017/01/01 00:00:00+00,2018/01/01 00:00:00+00,50,µg/m3,1,985016,6905691,6.91086700013002,49.1874199967162,9
Moselle,Forbach,57227,Agglomération de Forbach - Centre,FR22054,Urbaine,Fond,Ozone,7,mesure annuelle,2018/01/01 00:00:00+00,2019/01/01 00:00:00+00,52,µg/m3,1,985016,6905691,6.91086700013002,49.1874199967162,10
Moselle,Forbach,57227,Agglomération de Forbach - Centre,FR22054,Urbaine,Fond,Ozone,7,mesure annuelle,2019/01/01 00:00:00+00,2020/01/01 00:00:00+00,NA,µg/m3,1,985016,6905691,6.91086700013002,49.1874199967162,11
