X,Y,objectid,nom_dept,nom_com,insee_com,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x_wgs84,y_wgs84,x_reg,y_reg,ObjectId2
341289.974043466,6512032.87877854,1419,NORD,Douai,59178,Douai Theuriet,FR06003,urban,2,Dioxyde d'azote,8,21,ug.m-3,annuelle,2013/01/01 00:00:00+00,2013/12/31 23:59:59+00,t,3.06586,50.3782,704691,7031180,1
341289.974043466,6512032.87877854,1420,NORD,Douai,59178,Douai Theuriet,FR06003,urban,2,Ozone,7,45,ug.m-3,annuelle,2013/01/01 00:00:00+00,2013/12/31 23:59:59+00,t,3.06586,50.3782,704691,7031180,2
392148.509802189,6509606.85907271,1421,NORD,Valenciennes,59606,Valenciennes Wallon,FR06006,urban,4,Dioxyde d'azote,8,34,ug.m-3,annuelle,2013/01/01 00:00:00+00,2013/12/31 23:59:59+00,t,3.52273,50.3643,737244,7029740,3
392148.509802189,6509606.85907271,1423,NORD,Valenciennes,59606,Valenciennes Wallon,FR06006,urban,4,Particules fines PM2.5,6001,20,ug.m-3,annuelle,2013/01/01 00:00:00+00,2013/12/31 23:59:59+00,t,3.52273,50.3643,737244,7029740,4
312514.998868312,6499944.73990098,904,PAS-DE-CALAIS,Saint-Laurent-Blangy,62753,St-Laurent-Blangy,FR28022,suburban,2,Dioxyde d'azote,8,20,ug.m-3,annuelle,2014/01/01 00:00:00+00,2014/12/31 23:59:59+00,t,2.80737,50.3089,686260,7023470,5
312514.998868312,6499944.73990098,906,PAS-DE-CALAIS,Saint-Laurent-Blangy,62753,St-Laurent-Blangy,FR28022,suburban,2,Dioxyde d'azote,8,18,ug.m-3,annuelle,2016/01/01 00:00:00+00,2016/12/31 23:59:59+00,t,2.80737,50.3089,686260,7023470,6
442707.596130678,6494804.34110129,1424,NORD,Maubeuge,59392,Maubeuge Joyeuse,FR06007,urban,2,Dioxyde d'azote,8,20,ug.m-3,annuelle,2013/01/01 00:00:00+00,2013/12/31 23:59:59+00,t,3.97691,50.2794,769719,7020590,7
442707.596130678,6494804.34110129,1425,NORD,Maubeuge,59392,Maubeuge Joyeuse,FR06007,urban,2,Ozone,7,43,ug.m-3,annuelle,2013/01/01 00:00:00+00,2013/12/31 23:59:59+00,t,3.97691,50.2794,769719,7020590,8
293403.668688923,6539519.21403007,913,PAS-DE-CALAIS,Béthune,62119,Bethune Stade,FR28028,urban,2,Dioxyde d'azote,8,16,ug.m-3,annuelle,2017/01/01 00:00:00+00,2017/12/31 23:59:59+00,t,2.63569,50.5354,674132,7048740,9
428583.379138827,6462275.94576193,1427,NORD,Cartignies,59134,Cartignies,FR06133,rural-regional,2,Ozone,7,45,ug.m-3,annuelle,2013/01/01 00:00:00+00,2013/12/31 23:59:59+00,t,3.85003,50.0923,760889,6999650,10
269397.620499354,6629895.00668212,1428,NORD,Dunkerque,59183,Malo-les-Bains,FR10004,urban,2,Particules fines PM2.5,6001,16,ug.m-3,annuelle,2013/01/01 00:00:00+00,2013/12/31 23:59:59+00,t,2.42004,51.0486,659239,7106030,11
250579.060580751,6624726.07582164,931,NORD,Dunkerque,59183,Mardyck,FR10012,suburban,1,Dioxyde d'azote,8,15,ug.m-3,annuelle,2017/01/01 00:00:00+00,2017/12/31 23:59:59+00,t,2.25099,51.0194,647327,7102880,12
250579.060580751,6624726.07582164,1429,NORD,Dunkerque,59183,Mardyck,FR10012,suburban,1,Benzène,20,0.89,ug.m-3,annuelle,2013/01/01 00:00:00+00,2013/12/31 23:59:59+00,t,2.25099,51.0194,647327,7102880,13
390513.226482435,6508594.7731797,2541,NORD,Valenciennes,59606,Valenciennes Acacias,FR06001,urban,2,Dioxyde d'azote,8,17,ug.m-3,annuelle,2019/01/01 00:00:00+00,2019/12/31 23:59:59+00,t,3.50804,50.3585,736201,7029100,14
259637.1275466,6627097.71506936,940,NORD,Dunkerque,59183,St Pol mer - cheminots,FR10017,urban,2,Dioxyde d'azote,8,,ug.m-3,annuelle,2014/01/01 00:00:00+00,2014/12/31 23:59:59+00,t,2.33236,51.0328,653062,7104320,15
259637.1275466,6627097.71506936,941,NORD,Dunkerque,59183,St Pol mer - cheminots,FR10017,urban,2,Dioxyde d'azote,8,,ug.m-3,annuelle,2015/01/01 00:00:00+00,2015/12/31 23:59:59+00,t,2.33236,51.0328,653062,7104320,16
259637.1275466,6627097.71506936,942,NORD,Dunkerque,59183,St Pol mer - cheminots,FR10017,urban,2,Dioxyde d'azote,8,,ug.m-3,annuelle,2016/01/01 00:00:00+00,2016/12/31 23:59:59+00,t,2.33236,51.0328,653062,7104320,17
259637.1275466,6627097.71506936,943,NORD,Dunkerque,59183,St Pol mer - cheminots,FR10017,urban,2,Dioxyde d'azote,8,,ug.m-3,annuelle,2017/01/01 00:00:00+00,2017/12/31 23:59:59+00,t,2.33236,51.0328,653062,7104320,18
250579.060580751,6624726.07582164,1431,NORD,Dunkerque,59183,Mardyck,FR10012,suburban,1,Dioxyde d'azote,8,21,ug.m-3,annuelle,2013/01/01 00:00:00+00,2013/12/31 23:59:59+00,t,2.25099,51.0194,647327,7102880,19
