NO2,O3,PM10,PM2.5,nom_dept,# dept,population
12.35,52.7,16.25,10.0,ain,01,638425
20.714285714285715,48.75,17.6,14.0,aisne,02,536136
11.587499999999999,56.23333333333333,12.166666666666666,7.8,allier,03,339384
13.675,73.27000000000001,11.080000000000002,7.42,alpes-de-haute-provence,04,161588
40.07142857142857,62.15588235294117,24.97391304347826,13.383333333333333,alpes-maritimes,06,1083310
12.945945945945946,50.57142857142857,18.789473684210527,9.5,ardennes,08,273579
10.0,31.0,20.0,10.0,ardèche,07,325712
19.266666666666666,48.55,19.0,14.0,aube,10,310020
36.01587301587302,50.64,22.285714285714285,14.636363636363637,bas-rhin,67,1125559
36.66636363636364,61.50869565217391,22.393617021276597,12.245454545454548,bouches-du-rhone,13,2024162
8.6,68.85,10.25,7.5,cantal,15,145143
11.812500000000002,58.2,16.775000000000002,11.416666666666666,drôme,26,511553
27.433333333333334,53.08,14.62,8.48,essonne,91,1296130
28.246153846153845,49.075,19.70731707317073,14.11111111111111,haut-rhin,68,764030
13.2,62.6,10.4,7.5,haute-loire,43,227283
13.933333333333334,51.8,18.714285714285715,11.875,haute-marne,52,175640
20.283333333333335,48.525,17.16521739130435,13.15,haute-savoie,74,807360
40.68333333333334,59.083333333333336,18.9,12.370000000000001,hautes-alpes,05,141284
19.73684210526316,49.49230769230769,15.279999999999998,13.683333333333332,isère,38,1258722
20.511111111111106,50.525000000000006,14.692857142857141,9.666666666666668,loire,42,762941
29.38961038961039,48.08571428571429,20.894736842105264,14.333333333333334,marne,51,568895
32.624,50.15,19.26086956521739,13.6,meurthe-et-moselle,54,733481
17.387755102040817,51.892857142857146,17.5,14.066666666666666,meuse,55,187187
26.66470588235294,46.47692307692308,18.90721649484536,15.08695652173913,moselle,57,1043522
20.468354430379748,46.88235294117647,21.452380952380956,14.242424242424242,nord,59,2604361
21.625,44.25,19.74166666666667,13.333333333333334,oise,60,824503
53.52592592592592,39.480000000000004,25.46470588235294,16.34,paris,75,12568755
14.53191489361702,49.86440677966102,19.978333333333335,12.772727272727273,pas-de-calais,62,1468018
24.142857142857142,58.74285714285714,14.79166666666667,11.8,puy-de-dôme,63,653742
29.174999999999997,47.8,20.44814814814815,14.0375,rhône,69,457392
20.983333333333334,49.625,13.407142857142857,14.2,savoie,73,431174
26.21666666666667,45.43999999999998,24.240000000000002,8.5,seine-et-marne,77,1403997
55.875,42.06,42.839999999999996,21.78,seine-saint-denis,93,1623111
16.75,49.357142857142854,20.033333333333335,13.0,somme,80,572443
31.483333333333334,45.45,20.225,12.9,val-de-marne,94,1387926
35.047058823529426,70.15909090909089,21.126315789473683,12.133333333333335,var,83,1058740
28.79666666666667,60.46000000000001,22.125,11.9,vaucluse,84,559479
23.21666666666667,46.890909090909126,16.1,10.15,yvelines,78,1438266
