nom_dept,nom_com,id_com,date_debut,date_fin,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,unite,valeur,validite,validation,metrique,yl93,xl93,OBJECTID
Puy-de-Dôme,Clermont-Ferrand,63113,1483228800000,1514764800000,Montferrand,FR07004,urbaine,fond,"Particules PM2,5",6001,µg/m3,10.6,t,t,annuelle,6521968,708842.3125,1
Allier,Paray-le-Frésil,03203,1483228800000,1514764800000,Paray le Fresil,FR07022,rurale régionale,fond,"Particules PM2,5",6001,µg/m3,7.6,t,t,annuelle,6617129.5,745935.5625,2
Puy-de-Dôme,Clermont-Ferrand,63113,1483228800000,1514764800000,Clermont-Esplanade Gare,FR07034,urbaine,trafic,"Particules PM2,5",6001,µg/m3,11.6,t,t,annuelle,6519569.5,707479.4375,3
Isère,Échirolles,38151,1483228800000,1514764800000,Le Rondeau,FR15039,urbaine,trafic,"Particules PM2,5",6001,µg/m3,12.6,t,f,annuelle,6454644,912411.125,4
Isère,Grenoble,38185,1483228800000,1514764800000,Grenoble Les Frenes,FR15043,urbaine,fond,"Particules PM2,5",6001,µg/m3,13.5,t,t,annuelle,6455123,914897.625,5
Rhône,La Mulatière,69142,1483228800000,1514764800000,A7 SUD LYONNAIS,FR20013,périurbaine,trafic,"Particules PM2,5",6001,µg/m3,15.1,t,t,annuelle,6515040,841410.75,6
Rhône,Vaulx-en-Velin,69256,1483228800000,1514764800000,VAULX EN VELIN,FR20046,urbaine,fond,"Particules PM2,5",6001,µg/m3,11.3,t,t,annuelle,6521743,849541.875,7
Rhône,Villefranche-sur-Saône,69264,1483228800000,1514764800000,VILLEFRANCHE Village,FR20061,urbaine,fond,"Particules PM2,5",6001,µg/m3,11.9,t,f,annuelle,6544410.5,833082.625,8
Rhône,Lyon,69123,1483228800000,1514764800000,LYON Centre,FR20062,urbaine,fond,"Particules PM2,5",6001,µg/m3,15,t,t,annuelle,6519290,844083.4375,9
Rhône,Lyon,69123,1483228800000,1514764800000,Lyon - Tunnel Croix-Rousse - Sortie Rhône,FR20065,urbaine,fond,"Particules PM2,5",6001,µg/m3,,,,annuelle,6520868,842741,10
Isère,Salaise-sur-Sanne,38468,1483228800000,1514764800000,A7 Nord-Isère,FR27008,périurbaine,trafic,"Particules PM2,5",6001,µg/m3,13,t,f,annuelle,6474259,841310,11
Loire,Saint-Étienne,42218,1483228800000,1514764800000,SAINT ETIENNE SUD,FR29424,urbaine,fond,"Particules PM2,5",6001,µg/m3,8.6,t,f,annuelle,6481038,809128.1875,12
Loire,Saint-Chamond,42207,1483228800000,1514764800000,SAINT-CHAMOND,FR29426,urbaine,fond,"Particules PM2,5",6001,µg/m3,9.7,t,f,annuelle,6487343.5,818361.1875,13
Loire,Saint-Étienne,42218,1483228800000,1514764800000,ST ETIENNE ROND PT,FR29428,urbaine,trafic,"Particules PM2,5",6001,µg/m3,9.1,t,t,annuelle,6481283,810485.5625,14
Savoie,Chambéry,73065,1483228800000,1514764800000,PASTEUR,FR33101,urbaine,fond,"Particules PM2,5",6001,µg/m3,13,t,t,annuelle,6500356,928381,15
Haute-Savoie,Annecy,74010,1483228800000,1514764800000,LOVERCHY,FR33201,urbaine,fond,"Particules PM2,5",6001,µg/m3,13.3,t,t,annuelle,6537627,941742.125,16
Haute-Savoie,Annemasse,74012,1483228800000,1514764800000,ANNEMASSE,FR33211,urbaine,fond,"Particules PM2,5",6001,µg/m3,12.4,t,t,annuelle,6571348.5,949833.5625,17
Haute-Savoie,Gaillard,74133,1483228800000,1514764800000,GAILLARD,FR33212,urbaine,fond,"Particules PM2,5",6001,µg/m3,,,,annuelle,6571030,947863.125,18
Haute-Savoie,Passy,74208,1483228800000,1514764800000,PASSY,FR33220,périurbaine,fond,"Particules PM2,5",6001,µg/m3,17.1,t,f,annuelle,6542749,987703,19
Haute-Savoie,Saint-Germain-sur-Rhône,74235,1483228800000,1514764800000,St Germain/Rhône,FR33302,rurale proche,fond,"Particules PM2,5",6001,µg/m3,9.2,t,t,annuelle,6556388.5,917979.6875,20
Drôme,Valence,26362,1483228800000,1514764800000,Valence Urb. Centre,FR36002,urbaine,fond,"Particules PM2,5",6001,µg/m3,12.6,t,t,annuelle,6427789.5,849384.3125,21
Drôme,Bourg-lès-Valence,26058,1483228800000,1514764800000,Valence Trafic,FR36003,urbaine,trafic,"Particules PM2,5",6001,µg/m3,18.3,f,f,annuelle,6429529.5,849043,22
Drôme,Saint-Nazaire-le-Désert,26321,1483228800000,1514764800000,Drôme Rurale Sud-SND,FR36021,rurale nationale,fond,"Particules PM2,5",6001,µg/m3,5.6,t,t,annuelle,6388207,880936.6875,23
