id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
1,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,58,ug.m-3,annuelle,2012/12/31 23:00:00+00,2013/12/31 23:00:00+00,1,651166,6862011
2,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,52,ug.m-3,annuelle,2013/12/31 23:00:00+00,2014/12/31 23:00:00+00,1,651166,6862011
3,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,52,ug.m-3,annuelle,2014/12/31 23:00:00+00,2015/12/31 23:00:00+00,1,651166,6862011
4,PARIS,PARIS-6E-ARRONDISSEMENT,75106,Rue Bonaparte,4071,Trafic,NO2,8,50,ug.m-3,annuelle,2016/12/31 23:00:00+00,2017/12/31 23:00:00+00,1,651166,6862011
5,ESSONNE,EVRY,91228,EVRY,4323,Urbaine,NO2,8,30,ug.m-3,annuelle,2012/12/31 23:00:00+00,2013/12/31 23:00:00+00,1,657945,6836504
6,ESSONNE,EVRY,91228,EVRY,4323,Urbaine,NO2,8,28,ug.m-3,annuelle,2013/12/31 23:00:00+00,2014/12/31 23:00:00+00,1,657945,6836504
7,ESSONNE,EVRY,91228,EVRY,4323,Urbaine,NO2,8,27,ug.m-3,annuelle,2014/12/31 23:00:00+00,2015/12/31 23:00:00+00,1,657945,6836504
8,ESSONNE,EVRY,91228,EVRY,4323,Urbaine,NO2,8,28,ug.m-3,annuelle,2015/12/31 23:00:00+00,2016/12/31 23:00:00+00,1,657945,6836504
9,ESSONNE,EVRY,91228,EVRY,4323,Urbaine,NO2,8,27,ug.m-3,annuelle,2016/12/31 23:00:00+00,2017/12/31 23:00:00+00,1,657945,6836504
10,PARIS,PARIS-2E-ARRONDISSEMENT,75102,Place de l'Opéra,4118,Trafic,NO2,8,77,ug.m-3,annuelle,2012/12/31 23:00:00+00,2013/12/31 23:00:00+00,1,651036,6863568
11,PARIS,PARIS-2E-ARRONDISSEMENT,75102,Place de l'Opéra,4118,Trafic,NO2,8,77,ug.m-3,annuelle,2013/12/31 23:00:00+00,2014/12/31 23:00:00+00,1,651036,6863568
12,PARIS,PARIS-2E-ARRONDISSEMENT,75102,Place de l'Opéra,4118,Trafic,NO2,8,72,ug.m-3,annuelle,2014/12/31 23:00:00+00,2015/12/31 23:00:00+00,1,651036,6863568
13,PARIS,PARIS-2E-ARRONDISSEMENT,75102,Place de l'Opéra,4118,Trafic,NO2,8,70,ug.m-3,annuelle,2015/12/31 23:00:00+00,2016/12/31 23:00:00+00,1,651036,6863568
