id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
1,ESSONNE,BOIS-HERPIN,91075,Zone rurale Sud,4066,Rurale re.,PM2.5,6001,8.2,ug.m-3,annuelle,1388530800000,1420066800000,1,643355,6807285
2,ESSONNE,BOIS-HERPIN,91075,Zone rurale Sud,4066,Rurale re.,PM2.5,6001,9.7,ug.m-3,annuelle,1420066800000,1451602800000,1,643355,6807285
3,ESSONNE,BOIS-HERPIN,91075,Zone rurale Sud,4066,Rurale re.,PM2.5,6001,8.6,ug.m-3,annuelle,1451602800000,1483225200000,1,643355,6807285
4,ESSONNE,BOIS-HERPIN,91075,Zone rurale Sud,4066,Rurale re.,PM2.5,6001,7.5,ug.m-3,annuelle,1483225200000,1514761200000,1,643355,6807285
5,VAL-D'OISE,GONESSE,95277,GONESSE,4024,Periurb.,PM2.5,6001,13.7,ug.m-3,annuelle,1388530800000,1420066800000,1,659365,6876912
6,VAL-D'OISE,GONESSE,95277,GONESSE,4024,Periurb.,PM2.5,6001,13.8,ug.m-3,annuelle,1420066800000,1451602800000,1,659365,6876912
7,VAL-D'OISE,GONESSE,95277,GONESSE,4024,Periurb.,PM2.5,6001,13.2,ug.m-3,annuelle,1451602800000,1483225200000,1,659365,6876912
8,VAL-D'OISE,GONESSE,95277,GONESSE,4024,Periurb.,PM2.5,6001,12,ug.m-3,annuelle,1483225200000,1514761200000,1,659365,6876912
9,VAL-D'OISE,BONNEUIL-EN-FRANCE,95088,GONESSE,4024,Periurb.,PM2.5,6001,13.7,ug.m-3,annuelle,1388530800000,1420066800000,1,659365,6876912
10,VAL-D'OISE,BONNEUIL-EN-FRANCE,95088,GONESSE,4024,Periurb.,PM2.5,6001,13.8,ug.m-3,annuelle,1420066800000,1451602800000,1,659365,6876912
11,VAL-D'OISE,BONNEUIL-EN-FRANCE,95088,GONESSE,4024,Periurb.,PM2.5,6001,13.2,ug.m-3,annuelle,1451602800000,1483225200000,1,659365,6876912
12,VAL-D'OISE,BONNEUIL-EN-FRANCE,95088,GONESSE,4024,Periurb.,PM2.5,6001,12,ug.m-3,annuelle,1483225200000,1514761200000,1,659365,6876912
13,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,PM2.5,6001,12.6,ug.m-3,annuelle,1388530800000,1420066800000,1,654122,6853046
14,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,PM2.5,6001,13.7,ug.m-3,annuelle,1420066800000,1451602800000,1,654122,6853046
15,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,PM2.5,6001,13.1,ug.m-3,annuelle,1451602800000,1483225200000,1,654122,6853046
16,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,PM2.5,6001,11.8,ug.m-3,annuelle,1483225200000,1514761200000,1,654122,6853046
17,SEINE-ET-MARNE,FONTAINEBLEAU,77186,Zone Rurale SE,4328,Rurale re.,PM2.5,6001,9.1,ug.m-3,annuelle,1388530800000,1420066800000,1,673715,6806114
18,SEINE-ET-MARNE,FONTAINEBLEAU,77186,Zone Rurale SE,4328,Rurale re.,PM2.5,6001,9.2,ug.m-3,annuelle,1420066800000,1451602800000,1,673715,6806114
19,SEINE-ET-MARNE,FONTAINEBLEAU,77186,Zone Rurale SE,4328,Rurale re.,PM2.5,6001,9,ug.m-3,annuelle,1451602800000,1483225200000,1,673715,6806114
20,SEINE-ET-MARNE,FONTAINEBLEAU,77186,Zone Rurale SE,4328,Rurale re.,PM2.5,6001,7.5,ug.m-3,annuelle,1483225200000,1514761200000,1,673715,6806114
21,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,PM2.5,6001,15.3,ug.m-3,annuelle,1388530800000,1420066800000,1,652382,6862336
