FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;PREVALENCIA;TASAx100;x_geo;y_geo;zbs_geo;PROVINCIA
2020-04-19;1706;Gerencia de Salamanca;170636;C.S. SAN JUAN;329;2.134700234;-5.6596496;40.9722411;SAN JUAN;Salamanca
2020-04-19;1707;Gerencia de Segovia;170702;C.S. CARBONERO EL MAYOR;301;3.245982961;-4.1840569;41.1764848;CARBONERO EL MAYOR;Segovia
2020-04-19;1707;Gerencia de Segovia;170704;C.S. FUENTESAUCO;37;2.687000726;-4.0940193;41.4080459;FUENTESAUCO;Segovia
2020-04-19;1707;Gerencia de Segovia;170706;C.S. NAVA DE LA ASUNCION;194;2.264239029;-4.4695964;41.1179671;NAVA DE LA ASUNCION;Segovia
2020-04-19;1707;Gerencia de Segovia;170710;C.S. SEGOVIA III;552;3.6043095;-4.120243;40.94888;SEGOVIA III;Segovia
2020-04-19;1707;Gerencia de Segovia;170712;C.S. SEPULVEDA;69;2.405857741;-3.712417;41.329873;SEPULVEDA;Segovia
2020-04-19;1707;Gerencia de Segovia;170715;C.S. SAN ILDEFONSO;279;5.204252938;-4.0179965;40.8500482;SAN ILDEFONSO;Segovia
2020-04-19;1707;Gerencia de Segovia;170716;C.S. SACRAMENIA;19;2.314250914;-3.9279862;41.4623748;SACRAMENIA;Segovia
2020-04-19;1708;Gerencia de Soria;170804;C.S. BERLANGA DE DUERO;12;0.861450108;-2.8636289;41.4257913;BERLANGA DE DUERO;Soria
2020-04-19;1708;Gerencia de Soria;170810;C.S. SAN LEONARDO YAGÜE;26;0.681877787;-3.1059501;41.8083737;SAN LEONARDO YAGÜE;Soria
2020-04-19;1708;Gerencia de Soria;170814;C.S. SORIA SUR;580;3.007362854;-2.4659611;41.7606339;SORIA SUR;Soria
2020-04-19;1709;Gerencia de Valladolid Oeste;170902;C.S. ARTURO EYRIES;332;1.751239582;-4.7469394;41.6284171;ARTURO EYRIES;Valladolid
2020-04-19;1709;Gerencia de Valladolid Oeste;170910;C.S. MAYORGA DE CAMPOS;21;0.801220908;-5.2444328;42.1620332;MAYORGA DE CAMPOS;Valladolid
2020-04-19;1709;Gerencia de Valladolid Oeste;170916;C.S. PISUERGA;309;1.345936057;-4.8403081;41.5926952;PISUERGA;Valladolid
2020-04-19;1709;Gerencia de Valladolid Oeste;170925;C.S. VILLALON DE CAMPOS;11;0.485865724;-5.059256;42.1180914;VILLALON DE CAMPOS;Valladolid
2020-04-19;1709;Gerencia de Valladolid Oeste;170926;C.S. VALLADOLID RURAL II;84;0.960768615;-4.8965168;41.7013384;VALLADOLID RURAL II;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171008;C.S. TORTOLA;166;1.175803938;-4.696616;41.6303261;TORTOLA;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171009;C.S. PILARICA;242;1.470230863;-4.7114053;41.6545997;PILARICA;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171012;C.S. RONDILLA II;237;1.665261383;-4.7205359;41.664046;RONDILLA II;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171013;C.S. CANTERAC;201;1.79704962;-4.7165076;41.6425339;CANTERAC;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171014;C.S. SAN PABLO;205;1.834780274;-4.7265359;41.6561919;SAN PABLO;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171016;C.S. PORTILLO;179;1.547907299;-4.5726832;41.4774359;PORTILLO;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171017;C.S. SERRADA;57;1.071831516;-4.8411889;41.4508581;SERRADA;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171018;C.S. TUDELA;177;1.522711631;-4.4669681;41.6034399;TUDELA;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171020;C.S. OLMEDO;59;1.3491882;-4.695628;41.2972206;OLMEDO;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171022;C.S. MEDINA CAMPO URBANO;285;1.35740141;-4.9149855;41.3123252;MEDINA CAMPO URBANO;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171025;C.S. VALLADOLID RURAL I;250;2.843817541;-4.6211316;41.6733784;VALLADOLID RURAL I;Valladolid
2020-04-19;1710;Gerencia de Valladolid Este;171026;C.S. CIGALES;118;1.571656899;-4.660676;41.7859567;CIGALES;Valladolid
2020-04-19;1711;Gerencia de Zamora;171102;C.S. ALCAÑICES;16;0.347523892;-6.3315738;41.7589564;ALCAÑICES;Zamora
2020-04-19;1711;Gerencia de Zamora;171109;C.S. MOMBUEY;20;0.995520159;-6.3616617;42.0450526;MOMBUEY;Zamora
2020-04-19;1711;Gerencia de Zamora;171114;C.S. PUEBLA DE SANABRIA;31;0.780070458;-6.6501789;42.0813187;PUEBLA DE SANABRIA;Zamora
2020-04-19;1711;Gerencia de Zamora;171118;C.S. SANTIBAÑEZ VIDRIAL;4;0.216216216;-6.0490574;42.0931624;SANTIBAÑEZ VIDRIAL;Zamora
2020-04-19;1711;Gerencia de Zamora;171121;C.S. ZAMORA NORTE;76;1.066217733;-5.7908384;41.5774755;ZAMORA NORTE;Zamora
2020-04-20;1701;Gerencia de Ávila;170111;C.S. CEBREROS;161;1.857835218;-4.4395554;40.4517812;CEBREROS;Ávila
2020-04-20;1701;Gerencia de Ávila;170112;C.S. FONTIVEROS;78;3.521444695;-5.0026168;40.9224581;FONTIVEROS;Ávila
2020-04-20;1701;Gerencia de Ávila;170113;C.S. NAVARREDONDA GREDOS;15;1.050420168;-5.1468286;40.3763715;NAVARREDONDA GREDOS;Ávila
2020-04-20;1701;Gerencia de Ávila;170115;C.S. MADRIGAL DE LAS ALTAS TORRES;18;0.74875208;-5.020748;41.074037;MADRIGAL DE LAS ALTAS TORRES;Ávila
2020-04-20;1701;Gerencia de Ávila;170117;C.S. PIEDRAHITA;21;0.588235294;-5.308102;40.5423616;PIEDRAHITA;Ávila
2020-04-20;1702;Gerencia de Burgos;170201;C.S. ARANDA NORTE;252;1.282834453;-3.6555077;41.6891216;ARANDA NORTE;Burgos
2020-04-20;1702;Gerencia de Burgos;170204;C.S. BELORADO;97;2.491651683;-3.2049005;42.3861643;BELORADO;Burgos
