Year,Site,Annual Mean NO2 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
1990,All sites,53.7989386499,13.8708580245397,
1991,All sites,58.6909542783881,13.3365792550418,
1992,All sites,59.7529984402532,8.05995807708413,
1993,All sites,52.2046127562626,4.37501746551684,
1994,All sites,49.0369770771391,3.61138653662982,
1995,All sites,48.0297464941502,3.61898447319106,
1996,All sites,47.3769093766537,3.20269633982785,
1997,All sites,46.0424165098486,3.01024378554604,
1998,All sites,40.6705501571582,2.9297330377213,
1999,All sites,39.7014946913792,3.06593507694748,
2000,All sites,35.8741226087533,2.65895828260934,
2001,All sites,35.6703438298865,2.31952563118179,
2002,All sites,32.9132543346293,2.35574482528772,
2003,All sites,35.2843668847707,2.75716834352268,
2004,All sites,32.4343813488597,2.79915751343889,
2005,All sites,32.4327036368415,3.22132081214594,
2006,All sites,31.9280480199347,3.18220954667566,
2007,All sites,28.4460577087639,2.9753037782219,
2008,All sites,28.2412629831205,2.72514313849364,
2009,All sites,29.1512150318972,2.94709022299747,
2010,All sites,31.3224853954559,3.45695395092464,
2011,All sites,26.9441770428329,3.16293201753539,
2012,All sites,26.7482136321056,3.20002767860499,
2013,All sites,25.388784846788,3.02368854558295,
2014,All sites,25.2058439965204,3.35483411468742,
2015,All sites,22.830093803358,2.73760704023988,
2016,All sites,23.2834610128834,2.58872703284705,
2017,All sites,21.7433587294104,2.53557484724527,
2018,All sites,20.0023790209726,2.08544665800963,
2019,All sites,19.5691118651445,2.05948235788653,
1999,Aberdeen,26.6133733390484,,26.6324200913242
2000,Aberdeen,24.4421793471666,,93.818306010929
2001,Aberdeen,25.2088228242628,,95.2283105022831
2002,Aberdeen,27.1392241884449,,97.4086757990868
2003,Aberdeen,30.6500452137967,,88.3675799086758
2004,Aberdeen,26.2832574607992,,90.0273224043716
2005,Aberdeen,23.7802717070289,,96.6324200913242
2006,Aberdeen,27.3358112094395,,96.7465753424657
2007,Aberdeen,23.6333612540385,,95.3995433789954
2008,Aberdeen,25.3991172029272,,98.0077413479053
2009,Aberdeen,25.6484208026597,,96.1415525114155
2010,Aberdeen,22.1878488279381,,71.5867579908676
2011,Aberdeen,22.7545010134732,,95.7420091324201
2012,Aberdeen,20.9975621647977,,93.3970856102004
2013,Aberdeen,20.2957142543412,,44.703196347032
2014,Aberdeen,21.7020449203841,,93.9155251141552
2015,Aberdeen,22.0908059761325,,98.527397260274
2016,Aberdeen,20.8323210480094,,97.2222222222222
2017,Aberdeen,22.0536746623145,,96.175799086758
2018,Aberdeen,20.3437769534133,,98.9954337899543
2019,Aberdeen,16.7336921042699,,96.7808219178082
2011,Birmingham Acocks Green,23.4801488833747,,73.6073059360731
2012,Birmingham Acocks Green,31.7093918841246,,99.0323315118397
2013,Birmingham Acocks Green,35.3559263584015,,99.12100456621
2014,Birmingham Acocks Green,43.0969202971098,,98.7442922374429
2015,Birmingham Acocks Green,18.7684401067162,,98.4132420091324
2016,Birmingham Acocks Green,21.3114417359751,,98.8274134790528
2017,Birmingham Acocks Green,19.4375222445019,,88.2420091324201
2018,Birmingham Acocks Green,17.7015997995076,,97.3630136986301
2019,Birmingham Acocks Green,18.1441360246657,,99.041095890411
2016,Ballymena Ballykeel,14.5944697908452,,66.4048269581056
2017,Ballymena Ballykeel,13.9305576113461,,91.7579908675799
2018,Ballymena Ballykeel,15.53359157704,,97.648401826484
2019,Ballymena Ballykeel,14.4219591303831,,95.958904109589
1997,Barnsley Gawber,36.3438654082889,,27.8196347031963
1998,Barnsley Gawber,32.3566796368353,,52.8082191780822
1999,Barnsley Gawber,26.8365896980462,,83.5502283105023
2000,Barnsley Gawber,25.7789613848202,,94.0459927140255
2001,Barnsley Gawber,29.707232747891,,82.5456621004566
2002,Barnsley Gawber,25.1525961157352,,86.4041095890411
2003,Barnsley Gawber,24.5107482673558,,97.1803652968037
2004,Barnsley Gawber,21.6308477796248,,95.8788706739526
2005,Barnsley Gawber,20.3646743727093,,80.9817351598173
2006,Barnsley Gawber,18.8182896101971,,77.0205479452055
2007,Barnsley Gawber,18.3912553244801,,91.1187214611872
2008,Barnsley Gawber,18.7502816372512,,90.9494535519126
2009,Barnsley Gawber,18.8805915424102,,93.4018264840183
2010,Barnsley Gawber,25.1217285453439,,93.7785388127854
2011,Barnsley Gawber,19.8794274623969,,94.1095890410959
2012,Barnsley Gawber,20.9175644595085,,94.0459927140255
2013,Barnsley Gawber,21.4900457063326,,98.4246575342466
2014,Barnsley Gawber,19.175514388722,,98.7899543378995
2015,Barnsley Gawber,18.5994340608419,,96.8150684931507
2016,Barnsley Gawber,18.9785283595816,,99.0323315118397
2017,Barnsley Gawber,16.0766782754603,,97.9680365296804
2018,Barnsley Gawber,15.5943379548075,,99.0182648401827
2019,Barnsley Gawber,16.5570560418321,,86.2328767123288
2017,Borehamwood Meadow Park,25.5132050234522,,24.337899543379
2018,Borehamwood Meadow Park,20.8724090422929,,97.9794520547945
2019,Borehamwood Meadow Park,20.6592887807183,,96.62100456621
1992,Belfast Centre,43.0785123966942,,60.6102003642987
1993,Belfast Centre,42.264587762816,,96.6438356164384
1994,Belfast Centre,39.2405337179949,,94.9657534246575
1995,Belfast Centre,39.3730445246691,,94.8630136986301
1996,Belfast Centre,38.3865486725664,,96.4822404371585
1997,Belfast Centre,38.6880152945394,,95.5365296803653
1998,Belfast Centre,33.9607939230581,,93.1735159817352
1999,Belfast Centre,34.9341529731647,,96.5639269406393
2000,Belfast Centre,30.4710581639804,,81.2272313296903
2001,Belfast Centre,31.5411937508346,,85.4908675799087
2002,Belfast Centre,30.2890445706003,,94.5091324200913
2003,Belfast Centre,31.8136735676456,,94.8401826484018
2004,Belfast Centre,27.9299702528508,,91.8488160291439
2005,Belfast Centre,33.0663457513604,,54.5433789954338
2006,Belfast Centre,33.5521580470618,,90.7191780821918
2007,Belfast Centre,31.8992218875502,,90.958904109589
2008,Belfast Centre,31.9866584311303,,92.1561930783242
2009,Belfast Centre,32.7986714358712,,89.3607305936073
2010,Belfast Centre,34.7523821309244,,92.2488584474886
2011,Belfast Centre,28.1545759574222,,98.6643835616438
2012,Belfast Centre,29.275551449359,,98.5769581056466
2013,Belfast Centre,31.3403944500239,,95.4794520547945
2014,Belfast Centre,28.1301258668629,,69.7945205479452
2015,Belfast Centre,28.9346883290139,,92.5
2016,Belfast Centre,29.3712681541197,,96.0268670309654
2017,Belfast Centre,24.6215587987051,,98.7328767123288
2018,Belfast Centre,27.3774279436552,,94.8173515981735
2019,Belfast Centre,24.0585770235451,,51.3926940639269
2004,Birmingham Tyburn,38.3185509056839,,36.4526411657559
2005,Birmingham Tyburn,34.0331988472622,,99.0296803652968
2006,Birmingham Tyburn,37.1754454926625,,87.1232876712329
2007,Birmingham Tyburn,32.626996990044,,98.6073059360731
2008,Birmingham Tyburn,34.0647848218417,,98.4061930783242
2009,Birmingham Tyburn,31.9972813238771,,96.5753424657534
2010,Birmingham Tyburn,37.3402312138728,,98.7442922374429
2011,Birmingham Tyburn,34.3532665053578,,99.0753424657534
2012,Birmingham Tyburn,32.2222349570201,,99.3283242258652
2013,Birmingham Tyburn,28.5322462225863,,90.5707762557078
2014,Birmingham Tyburn,29.8461456319061,,99.1780821917808
2015,Birmingham Tyburn,29.7697596727919,,96.2899543378995
2016,Birmingham Tyburn,28.9645013103607,,98.7818761384335
1993,Birmingham East,33.1550068587106,,8.32191780821918
1994,Birmingham East,38.4323082361258,,96.8835616438356
1995,Birmingham East,41.0586848927646,,96.8721461187215
1996,Birmingham East,39.3164893617021,,89.8907103825137
1997,Birmingham East,37.3771055753262,,96.2328767123288
1998,Birmingham East,30.4352746993634,,96.8264840182648
1999,Birmingham East,29.1900081900082,,97.5684931506849
2000,Birmingham East,26.7675751549889,,97.3246812386157
2001,Birmingham East,30.6969770843491,,93.6529680365297
2002,Birmingham East,29.262336039975,,91.3812785388128
2003,Birmingham East,33.4932482199853,,92.9908675799087
2004,Birmingham East,31.0894670050761,,53.8251366120219
1992,Birmingham Centre,45.9698931693105,,35.1662112932605
1993,Birmingham Centre,47.5487478725991,,93.9041095890411
1994,Birmingham Centre,45.1955926146516,,95.8333333333333
1995,Birmingham Centre,46.7164319248826,,97.2602739726027
1996,Birmingham Centre,44.5431764705882,,96.7668488160291
1997,Birmingham Centre,44.1625108547327,,92.0205479452055
1998,Birmingham Centre,42.2591765081392,,71.5296803652968
1999,Birmingham Centre,38.4321565802113,,95.0684931506849
2000,Birmingham Centre,33.0258072118784,,96.6074681238616
2001,Birmingham Centre,33.5241038318912,,92.351598173516
2002,Birmingham Centre,33.6157441574416,,92.8082191780822
2003,Birmingham Centre,33.4372801875733,,87.6369863013699
2004,Birmingham Centre,35.1188829105816,,88.8661202185792
2005,Birmingham Centre,33.1420926630052,,81.0616438356164
2006,Birmingham Centre,34.4553853634816,,93.9041095890411
2007,Birmingham Centre,33.9591182364729,,85.4452054794521
2008,Birmingham Centre,33.1089879688606,,96.516393442623
2009,Birmingham Centre,49.4402985074627,,3.05936073059361
2000,Blackpool,18.1020110754882,,39.0596539162113
2001,Blackpool,23.7898024219248,,89.5547945205479
2002,Blackpool,21.5500770416025,,96.3127853881278
2003,Blackpool,23.9785522788204,,93.675799086758
