Year,Site,Annual average maximum daily 8-hour mean O3 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
1987,All sites,55.7337199123514,6.72100249082121,
1988,All sites,65.6498128471324,4.65902653387367,
1989,All sites,67.864646135213,4.97293096496959,
1990,All sites,69.7188482321325,4.50819054854276,
1991,All sites,66.7942710122355,4.4550043737148,
1992,All sites,67.8641858970289,5.03528042372285,
1993,All sites,65.2150289228646,5.30947171589198,
1994,All sites,69.3838697569397,3.86937364639245,
1995,All sites,70.0418537664979,3.85155362294906,
1996,All sites,66.7055143577898,3.36038338492884,
1997,All sites,65.87804203214,3.29199642262426,
1998,All sites,68.0510049123755,3.23369912265631,
1999,All sites,72.2068330000733,2.94163247062241,
2000,All sites,67.1685770841685,2.90130937507634,
2001,All sites,66.1410938993261,3.11145153892892,
2002,All sites,66.9549309592343,3.06110167884368,
2003,All sites,73.1209724272377,3.14122003288799,
2004,All sites,71.9055417143799,2.69701093863393,
2005,All sites,69.588804153727,3.17593223731947,
2006,All sites,73.8612099115012,3.1855086887094,
2007,All sites,67.6868232727572,2.36623985908276,
2008,All sites,69.8240750036532,2.77670372386298,
2009,All sites,67.6364272108447,2.66214218844598,
2010,All sites,67.062913075653,2.41805067334094,
2011,All sites,67.9616179571663,2.26018004985289,
2012,All sites,65.7610951516981,2.32610270925699,
2013,All sites,68.9884107744895,2.20139062776316,
2014,All sites,69.4566365093288,2.37420831562323,
2015,All sites,71.1381443113233,1.88087459260688,
2016,All sites,67.1355616102262,1.93443897053457,
2017,All sites,69.1750012772282,2.23954720779207,
2018,All sites,73.2621605144039,2.39750566430586,
2019,All sites,72.0845027529812,2.3471549978586,
2006,Auchencorth Moss,65.5952380952381,,15.3424657534247
2007,Auchencorth Moss,68.1454953172405,,98.9041095890411
2008,Auchencorth Moss,70.6763309256287,,97.2677595628415
2009,Auchencorth Moss,65.0854761904762,,95.8904109589041
2010,Auchencorth Moss,66.7209944751381,,99.1780821917808
2011,Auchencorth Moss,66.4627357868355,,98.9041095890411
2012,Auchencorth Moss,65.6189160747172,,98.9071038251366
2013,Auchencorth Moss,68.5380991031856,,98.9041095890411
2014,Auchencorth Moss,67.3992564158045,,98.3561643835616
2015,Auchencorth Moss,69.5454174464452,,98.3561643835616
2016,Auchencorth Moss,64.9939657684918,,94.8087431693989
2017,Auchencorth Moss,66.4048080973757,,99.1780821917808
2018,Auchencorth Moss,68.9862059086086,,98.3561643835616
2019,Auchencorth Moss,71.2076241230487,,99.4520547945205
1987,Aston Hill,60.386684303351,,66.5753424657534
1988,Aston Hill,72.0069413345275,,87.1584699453552
1989,Aston Hill,74.1928926794598,,91.7808219178082
1990,Aston Hill,79.4291513166871,,95.6164383561644
1991,Aston Hill,68.3454387372927,,97.5342465753425
1992,Aston Hill,72.7600910170162,,98.6338797814208
1993,Aston Hill,71.8413537620486,,90.6849315068493
1994,Aston Hill,77.6564484126984,,98.6301369863014
1995,Aston Hill,77.1520941710017,,97.8082191780822
1996,Aston Hill,70.4750909918107,,85.792349726776
1997,Aston Hill,67.7518202999854,,89.5890410958904
1998,Aston Hill,71.4393557422969,,93.1506849315068
1999,Aston Hill,76.7429952644041,,99.1780821917808
2000,Aston Hill,72.9704921602788,,89.6174863387978
2001,Aston Hill,73.7790873015873,,82.1917808219178
2002,Aston Hill,71.1332164767748,,89.3150684931507
2003,Aston Hill,73.4750992063492,,98.6301369863014
2004,Aston Hill,76.1307312398644,,88.2513661202186
2005,Aston Hill,81.5222222222222,,98.6301369863014
2006,Aston Hill,83.0041345879669,,91.5068493150685
2007,Aston Hill,72.4422799422799,,90.4109589041096
2008,Aston Hill,78.9730576441103,,83.0601092896175
2009,Aston Hill,72.991320830008,,98.0821917808219
2010,Aston Hill,65.700358137684,,98.3561643835616
2011,Aston Hill,70.4509550338241,,98.3561643835616
2012,Aston Hill,70.9609126984127,,98.3606557377049
2013,Aston Hill,72.699633838021,,96.7123287671233
2014,Aston Hill,74.0961053554894,,98.6301369863014
2015,Aston Hill,74.0954231433602,,97.2602739726027
2016,Aston Hill,72.6016203995066,,90.983606557377
2017,Aston Hill,72.5867440372671,,94.5205479452055
2018,Aston Hill,75.7549120224412,,95.3424657534246
2019,Aston Hill,74.2994329119575,,86.5753424657534
1987,Bottesford,59.6756367663344,,58.9041095890411
1988,Bottesford,47.0920008354219,,93.4426229508197
1989,Bottesford,49.6412224591329,,91.7808219178082
1990,Bottesford,54.1659060846561,,98.6301369863014
1991,Bottesford,51.2030181086519,,97.2602739726027
1992,Bottesford,44.1864087301587,,98.3606557377049
1993,Bottesford,43.4878272852549,,85.2054794520548
1994,Bottesford,57.549697097774,,92.6027397260274
1995,Bottesford,63.3613423897166,,89.3150684931507
1996,Bottesford,61.247074829932,,95.6284153005464
1997,Bottesford,58.8072751322751,,98.6301369863014
1998,Bottesford,60.8242018398268,,96.4383561643836
1999,Bottesford,68.4451906118573,,96.1643835616438
2000,Bottesford,61.9766191795278,,98.6338797814208
2001,Bottesford,63.2994227994228,,99.4520547945205
2002,Bottesford,65.7587323390895,,99.7260273972603
2003,Bottesford,67.4156386788699,,98.3561643835616
2004,Bottesford,63.5744462130256,,98.0874316939891
2005,Bottesford,64.1008133280861,,99.4520547945205
2006,Bottesford,70.8537791848041,,98.9041095890411
2007,Bottesford,61.4354207436399,,100
2008,Bottesford,64.5900793650794,,98.3606557377049
2009,Bottesford,62.2475731339368,,99.4520547945205
2010,Bottesford,60.8116913432039,,97.8082191780822
2011,Bottesford,64.6834520511806,,98.9041095890411
2012,Bottesford,63.2426131117267,,98.6338797814208
2013,Bottesford,67.2708670559623,,98.9041095890411
2014,Bottesford,68.4127508593226,,97.2602739726027
2015,Bottesford,65.9433840312663,,99.7260273972603
2016,Bottesford,66.7184171261347,,81.6939890710383
1987,Bush Estate,56.8477140143807,,96.1643835616438
1988,Bush Estate,66.818256242325,,95.3551912568306
1989,Bush Estate,67.4610933758978,,98.0821917808219
1990,Bush Estate,67.0356125356125,,96.1643835616438
1991,Bush Estate,59.4943435937911,,99.1780821917808
1992,Bush Estate,65.7189079542432,,97.8142076502732
1993,Bush Estate,62.9059456168831,,96.4383561643836
