Year,Site,Annual average maximum daily 8-hour mean O3 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
1992,All sites,39.9207315318611,12.5257199013407,
1993,All sites,40.177077315925,4.82971479100398,
1994,All sites,47.4296398815294,3.260083885925,
1995,All sites,50.5996907238264,4.45954497658601,
1996,All sites,45.9224596368,2.79307347487959,
1997,All sites,45.2562924142608,2.47575140108062,
1998,All sites,48.4568245652757,2.3213491194353,
1999,All sites,55.613053534499,2.43757715080363,
2000,All sites,52.1860893638384,2.42043561894533,
2001,All sites,51.3387979801257,2.09508022970148,
2002,All sites,52.4820823153954,2.30831567750938,
2003,All sites,58.9251752189423,2.34467028912256,
2004,All sites,56.3720029476793,2.41661214365138,
2005,All sites,56.024957284007,2.29152133520323,
2006,All sites,60.5420199749472,2.47069782776529,
2007,All sites,56.2342740506132,2.25362845562359,
2008,All sites,58.8112301791927,2.70927892589531,
2009,All sites,54.6104146251277,2.87860877858611,
2010,All sites,51.8041903445102,2.49608981802513,
2011,All sites,56.9576107038639,2.54921543480431,
2012,All sites,55.0056338833392,1.93735811147587,
2013,All sites,59.1912807094924,2.32326109714497,
2014,All sites,59.9386808842942,2.34732253302261,
2015,All sites,60.8404252646645,2.02504914848065,
2016,All sites,55.909539511492,2.07853173374025,
2017,All sites,58.0563913347412,2.2565913840584,
2018,All sites,62.7738833489885,2.00162090232275,
2019,All sites,61.0640910203158,2.20358997813932,
2003,Aberdeen,56.7570921985816,,38.6301369863014
2004,Aberdeen,69.451166180758,,93.7158469945355
2005,Aberdeen,63.3847990449662,,98.3561643835616
2006,Aberdeen,62.6913407821229,,98.0821917808219
2007,Aberdeen,60.2728091236495,,97.8082191780822
2008,Aberdeen,63.8612979817966,,98.6338797814208
2009,Aberdeen,55.9271911663216,,94.5205479452055
2010,Aberdeen,56.8336985100789,,89.3150684931507
2011,Aberdeen,55.8184955141477,,94.5205479452055
2012,Aberdeen,57.3020136429227,,99.1803278688525
2013,Aberdeen,59.9504528945313,,87.6712328767123
2014,Aberdeen,59.5120145963652,,92.6027397260274
2015,Aberdeen,62.6396575937264,,86.3013698630137
2016,Aberdeen,60.1881039582513,,99.1803278688525
2017,Aberdeen,59.8561693029138,,96.7123287671233
2018,Aberdeen,61.5174782963989,,98.9041095890411
2019,Aberdeen,57.8281646392857,,95.8904109589041
2011,Birmingham Acocks Green,63.5126713564214,,72.3287671232877
2012,Birmingham Acocks Green,52.2787250384025,,84.6994535519126
2013,Birmingham Acocks Green,61.1865204247461,,98.9041095890411
2014,Birmingham Acocks Green,60.9948470787037,,98.6301369863014
2015,Birmingham Acocks Green,61.5041008944611,,91.5068493150685
2016,Birmingham Acocks Green,57.2199264946112,,92.3497267759563
2017,Birmingham Acocks Green,58.7547604490741,,98.6301369863014
2018,Birmingham Acocks Green,66.4076973806226,,98.9041095890411
2019,Birmingham Acocks Green,65.5044037099812,,96.986301369863
1997,Barnsley Gawber,23.6944444444444,,2.46575342465753
1998,Barnsley Gawber,59.5577627500704,,92.6027397260274
1999,Barnsley Gawber,72.2573645073645,,91.2328767123288
2000,Barnsley Gawber,63.466831819433,,94.5355191256831
2001,Barnsley Gawber,61.9111406740347,,95.6164383561644
2002,Barnsley Gawber,56.0079118603963,,88.2191780821918
2003,Barnsley Gawber,65.3828447563997,,94.7945205479452
2004,Barnsley Gawber,65.5083402547065,,93.9890710382514
2005,Barnsley Gawber,58.5494291283765,,93.6986301369863
2006,Barnsley Gawber,63.6895877754087,,91.7808219178082
2007,Barnsley Gawber,56.5399223133362,,90.6849315068493
2008,Barnsley Gawber,60.2308993235177,,98.0874316939891
2009,Barnsley Gawber,57.0506636562671,,95.3424657534246
2010,Barnsley Gawber,47.1315978198508,,90.958904109589
2011,Barnsley Gawber,51.140022675737,,97.8082191780822
2012,Barnsley Gawber,53.133021299688,,95.9016393442623
2013,Barnsley Gawber,58.0862402545838,,98.9041095890411
2014,Barnsley Gawber,54.4634282492415,,98.9041095890411
2015,Barnsley Gawber,51.3493510182406,,97.8082191780822
2016,Barnsley Gawber,51.6164414372862,,98.9071038251366
2017,Barnsley Gawber,55.6445042311508,,98.6301369863014
2018,Barnsley Gawber,60.0865481097481,,98.9041095890411
2019,Barnsley Gawber,62.2416708243799,,98.3561643835616
1992,Belfast Centre,49.3801020408163,,80.327868852459
1993,Belfast Centre,46.6875504439064,,96.986301369863
1994,Belfast Centre,51.1800165152766,,94.7945205479452
1995,Belfast Centre,55.0949652067131,,95.6164383561644
1996,Belfast Centre,49.3937099194979,,95.3551912568306
1997,Belfast Centre,49.1683673469388,,93.972602739726
1998,Belfast Centre,58.4043392504931,,92.6027397260274
1999,Belfast Centre,62.3335734870317,,95.0684931506849
2000,Belfast Centre,59.55296404276,,80.327868852459
2001,Belfast Centre,54.6016819571865,,89.5890410958904
2002,Belfast Centre,52.2659303605835,,94.7945205479452
2003,Belfast Centre,59.7568760262726,,95.3424657534246
2004,Belfast Centre,59.0990136054422,,95.6284153005464
2005,Belfast Centre,54.6240656146179,,94.2465753424658
2006,Belfast Centre,57.5279456193353,,90.6849315068493
