Year,Site,Annual Mean PM10 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual data capture (%)
1992,All sites,36.1485548656885,7.16728652323085,
1993,All sites,35.2132069893342,4.07744919355152,
1994,All sites,32.372785147859,2.89408528067253,
1995,All sites,31.2518108676316,1.91001741234468,
1996,All sites,32.0501484927388,1.70654887238439,
1997,All sites,29.8506069771564,1.27197697252997,
1998,All sites,25.933556936796,1.00627546674949,
1999,All sites,24.032113362776,0.87638967724054,
2000,All sites,22.9452223326167,0.973193823414054,
2001,All sites,23.4887619671519,1.17525790115485,
2002,All sites,22.602882388737,0.88721429163656,
2003,All sites,25.13129970273,1.06636842620746,
2004,All sites,21.8968743255618,0.920587987303774,
2005,All sites,22.3283137746843,1.13981596934542,
2006,All sites,23.9699760362645,1.03919533488932,
2007,All sites,21.7051255282291,1.05933513113241,
2008,All sites,18.7183992129162,0.904243261502907,
2009,All sites,18.8523006419924,1.08949051095349,
2010,All sites,18.6991231690297,1.36372867141299,
2011,All sites,19.8428680725623,1.24115146408365,
2012,All sites,16.9767013647343,1.18267914243755,
2013,All sites,16.8791938107935,1.27805511173679,
2014,All sites,16.7732019896973,0.979983150260982,
2015,All sites,15.1912428957762,1.0925839538921,
2016,All sites,15.5770855889355,1.13421299372762,
2017,All sites,14.2266216375775,1.00009880369442,
2018,All sites,14.8731899830535,0.988971282566171,
2019,All sites,15.162225857834,0.83179025070155,
2010,London N. Kensington,16.1478260869565,,94.5205479452055
2013,London N. Kensington,18.8579551820728,,97.8082191780822
2014,London N. Kensington,17.5535164835165,,99.7260273972603
2002,Bournemouth,25.1098265895954,,94.7945205479452
2003,Bournemouth,25.0791788856305,,93.4246575342466
2004,Bournemouth,22.1965317919075,,94.5355191256831
2005,Bournemouth,23.8459302325581,,94.2465753424658
2006,Bournemouth,25.8005540166205,,98.9041095890411
2007,Bournemouth,23.9289772727273,,96.4383561643836
2008,Bournemouth,20.6750700280112,,97.5409836065574
2004,London Westminster,25.4011627906977,,93.9890710382514
2005,London Westminster,28.2363112391931,,95.0684931506849
2006,London Westminster,27.7249283667622,,95.6164383561644
2007,London Westminster,28.4311377245509,,91.5068493150685
2008,London Westminster,22.1702786377709,,88.2513661202186
1999,Aberdeen,19.4751072961373,,26.5981735159817
2000,Aberdeen,19.2586750788644,,93.8296903460838
2001,Aberdeen,15.293408929837,,96.6438356164384
2002,Aberdeen,18.4943181818182,,72.3287671232877
2003,Aberdeen,22.3779299141332,,98.37899543379
2004,Aberdeen,18.5503478579275,,93.2718579234973
2005,Aberdeen,18.6450770760816,,91.8264840182648
2006,Aberdeen,20.3226272103934,,94.8972602739726
2007,Aberdeen,16.8285912560722,,98.6986301369863
2008,Aberdeen,15.6887619047619,,89.6516393442623
2009,Aberdeen,14.7643880667136,,97.1917808219178
2010,Aberdeen,13.2954829049164,,91.4840182648402
2011,Aberdeen,13.7497005988024,,95.3196347031963
2012,Aberdeen,12.3781353525793,,96.2204007285975
2013,Aberdeen,13.4837750900669,,88.7214611872146
2014,Aberdeen,14.538287261328,,80.1141552511416
