Year,Site,Annual Mean PM2.5 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual capture rate (%)
2009,All sites,12.4659894653434,0.634283891805326,
2010,All sites,12.9941346895372,0.837557946445164,
2011,All sites,13.7048403424797,0.893151641790071,
2012,All sites,12.5614728524452,0.768436234500608,
2013,All sites,12.0871967621022,0.675479966840496,
2014,All sites,12.0797546640345,0.716146312233225,
2015,All sites,9.79613544844909,0.542039782294988,
2016,All sites,9.7973485895959,0.547089921973139,
2017,All sites,9.41469919605692,0.535408583808684,
2018,All sites,9.92569218276866,0.466330617288385,
2019,All sites,9.87680253101698,0.432977337192374,
2017,Bournemouth,7.53079401993355,,82.4657534246575
2009,Bournemouth,9.39367816091954,,95.3424657534246
2011,Bournemouth,8.97972972972973,,81.0958904109589
2012,Bournemouth,9.15652173913043,,94.2622950819672
2013,Bournemouth,9.18351123595506,,97.5342465753425
2014,Bournemouth,8.16803225806452,,84.9315068493151
2015,Bournemouth,7.48696132596685,,99.1780821917808
2016,Bournemouth,7.48936647727273,,96.1748633879781
2009,Brighton Preston Park,11.1028938906752,,85.2054794520548
2011,Brighton Preston Park,12.1045296167247,,78.6301369863014
2012,Brighton Preston Park,10.8508287292818,,98.9071038251366
2013,Brighton Preston Park,11.1798599439776,,97.8082191780822
2014,Brighton Preston Park,9.55932584269663,,97.5342465753425
2015,Brighton Preston Park,9.31876160990712,,88.4931506849315
2016,Brighton Preston Park,9.01902830188679,,86.8852459016393
2017,Brighton Preston Park,8.91593895348837,,94.2465753424658
2018,Brighton Preston Park,8.8899299719888,,97.8082191780822
2009,London Westminster,11.781976744186,,94.2465753424658
2010,London Westminster,12.6418439716312,,77.2602739726027
2011,London Westminster,12.6826347305389,,91.5068493150685
2013,London Westminster,11.7458620689655,,95.3424657534246
2014,London Westminster,11.1308011049724,,99.1780821917808
2015,London Westminster,9.59046242774567,,94.7945205479452
2016,London Westminster,9.66784036144578,,90.7103825136612
2017,London Westminster,9.2892005730659,,95.6164383561644
2013,Northampton Kingsthorpe,8.73230769230769,,96.1643835616438
2014,Northampton Kingsthorpe,8.05028735632184,,95.3424657534246
2015,Northampton Kingsthorpe,6.79437673130194,,98.9041095890411
2016,Northampton Kingsthorpe,7.09218181818182,,99.1803278688525
2010,Northampton,8.96996996996997,,91.2328767123288
2011,Northampton,9.96610169491525,,96.986301369863
2009,Aberdeen,6.92539562923888,,60.5936073059361
2010,Aberdeen,7.0740793605481,,79.9771689497717
2011,Aberdeen,8.48466566113625,,90.8219178082192
2012,Aberdeen,8.51022096183386,,96.3456284153006
2013,Aberdeen,8.5903216937036,,83.0365296803653
2014,Aberdeen,10.203896787783,,86.7123287671233
2015,Aberdeen,8.07508861997311,,93.3904109589041
2016,Aberdeen,5.37180378987767,,94.9225865209472
